"st","part","status","x","y"
"AK",1,"retained",146.1,525.1
"AK",1,"retained",146,525.1
"AK",1,"retained",146.1,524.9
"AK",1,"retained",145.8,524.6
"AK",1,"retained",144.8,523.7
"AK",1,"retained",144.1,522.6
"AK",1,"retained",144,522.5
"AK",1,"retained",143.9,522.2
"AK",1,"retained",143.8,522.2
"AK",1,"retained",143.6,522
"AK",1,"retained",143.5,522
"AK",1,"retained",143,521.7
"AK",1,"retained",142.8,521.5
"AK",1,"retained",142.8,521.4
"AK",1,"retained",142.6,521.2
"AK",1,"retained",142.3,521.1
"AK",1,"retained",142.1,521
"AK",1,"retained",141.6,520.8
"AK",1,"retained",140.9,520.5
"AK",1,"retained",140.5,520.5
"AK",1,"retained",139.8,520.2
"AK",1,"retained",139.3,520.1
"AK",1,"retained",139.2,520.1
"AK",1,"retained",138.6,520.2
"AK",1,"retained",138.3,520.3
"AK",1,"retained",138.1,520.6
"AK",1,"retained",137.9,520.6
"AK",1,"retained",137.8,520.5
"AK",1,"retained",138,520.2
"AK",1,"retained",137.8,520.1
"AK",1,"retained",137.4,520
"AK",1,"retained",137.1,519.8
"AK",1,"retained",136.8,519.9
"AK",1,"retained",136.3,520.2
"AK",1,"retained",136.1,520.3
"AK",1,"retained",136,520.5
"AK",1,"retained",135.8,520.7
"AK",1,"retained",135.6,520.7
"AK",1,"retained",135.4,520.5
"AK",1,"retained",134.9,520.5
"AK",1,"retained",134.7,520.5
"AK",1,"retained",134.5,520.7
"AK",1,"retained",134.4,521
"AK",1,"retained",133.8,521.3
"AK",1,"retained",133.4,521.4
"AK",1,"retained",133.1,521.5
"AK",1,"retained",131.9,521.6
"AK",1,"retained",131.8,521.7
"AK",1,"retained",131.8,521.9
"AK",1,"retained",131.6,522.1
"AK",1,"retained",131.5,522.2
"AK",1,"retained",131.2,522.3
"AK",1,"retained",131,522.8
"AK",1,"retained",130.8,522.9
"AK",1,"retained",130.4,522.9
"AK",1,"retained",130.3,523.1
"AK",1,"retained",130.1,523.3
"AK",1,"retained",129.8,523.4
"AK",1,"retained",129.6,523.6
"AK",1,"retained",129.4,523.7
"AK",1,"retained",129.2,524
"AK",1,"retained",129.1,524.5
"AK",1,"retained",128.1,525.4
"AK",1,"retained",127.6,525.9
"AK",1,"retained",126.5,525.7
"AK",1,"retained",126.4,525.8
"AK",1,"retained",126.1,525.8
"AK",1,"retained",126,525.9
"AK",1,"retained",126.2,526.2
"AK",1,"retained",126.5,526.2
"AK",1,"retained",126.4,526.4
"AK",1,"retained",126.6,526.7
"AK",1,"retained",126.4,526.8
"AK",1,"retained",126.2,526.6
"AK",1,"retained",126,526.6
"AK",1,"retained",125.6,526.7
"AK",1,"retained",125.6,526.5
"AK",1,"retained",125.7,526.4
"AK",1,"retained",125.7,526.2
"AK",1,"retained",125.4,526.3
"AK",1,"retained",125.2,526.2
"AK",1,"retained",125.2,525.9
"AK",1,"retained",124.7,526.3
"AK",1,"retained",124.6,526.3
"AK",1,"retained",124.6,526.5
"AK",1,"retained",124.3,526.6
"AK",1,"retained",124.1,526.7
"AK",1,"retained",124,526.6
"AK",1,"retained",123.9,526.8
"AK",1,"retained",123.8,526.2
"AK",1,"retained",123.4,526.2
"AK",1,"retained",123.5,526.4
"AK",1,"retained",123.3,526.5
"AK",1,"retained",122.5,526.4
"AK",1,"retained",122.2,526.6
"AK",1,"retained",122,526.6
"AK",1,"retained",121.8,526.5
"AK",1,"retained",121.8,526.3
"AK",1,"retained",121.8,526.1
"AK",1,"retained",122,526.1
"AK",1,"retained",122.2,525.8
"AK",1,"retained",122.5,525.8
"AK",1,"retained",122.8,525.7
"AK",1,"retained",123.1,525.7
"AK",1,"retained",123.5,525.6
"AK",1,"retained",123.7,525.5
"AK",1,"retained",124.1,525.3
"AK",1,"retained",124.3,525.1
"AK",1,"retained",124.7,524.9
"AK",1,"retained",125.2,524.8
"AK",1,"retained",125.7,524.9
"AK",1,"retained",125.9,524.6
"AK",1,"retained",126.4,524.3
"AK",1,"retained",127,524.1
"AK",1,"retained",127.2,523.9
"AK",1,"retained",127.3,523.9
"AK",1,"retained",127.9,522.6
"AK",1,"retained",128.2,521.9
"AK",1,"retained",128.1,521.8
"AK",1,"retained",127.8,521.9
"AK",1,"retained",127.6,522
"AK",1,"retained",127.5,522
"AK",1,"retained",127.4,521.9
"AK",1,"retained",127.2,521.3
"AK",1,"retained",127.1,521.2
"AK",1,"retained",126.9,521.3
"AK",1,"retained",126.7,521.2
"AK",1,"retained",126.7,521.1
"AK",1,"retained",126.5,521.1
"AK",1,"retained",126.2,521.4
"AK",1,"retained",126.1,521.5
"AK",1,"retained",126,521.4
"AK",1,"retained",126,521.2
"AK",1,"retained",125.6,521.4
"AK",1,"retained",125.5,521.3
"AK",1,"retained",125.3,521.2
"AK",1,"retained",125.3,521
"AK",1,"retained",125.5,521
"AK",1,"retained",125.6,520.9
"AK",1,"retained",125.6,520.7
"AK",1,"retained",125.5,520.4
"AK",1,"retained",125.5,520.2
"AK",1,"retained",125.8,519.9
"AK",1,"retained",125.6,519.5
"AK",1,"retained",125.5,519.3
"AK",1,"retained",125.3,519.3
"AK",1,"retained",125.2,519.4
"AK",1,"retained",125,519.4
"AK",1,"retained",124.5,519.3
"AK",1,"retained",124.5,519.5
"AK",1,"retained",124.3,519.4
"AK",1,"retained",124.1,519
"AK",1,"retained",124.2,518.9
"AK",1,"retained",124,518.5
"AK",1,"retained",123.9,518.4
"AK",1,"retained",123.6,517.9
"AK",1,"retained",124,517.7
"AK",1,"retained",124,517.5
"AK",1,"retained",123.9,517.3
"AK",1,"retained",123.7,517.2
"AK",1,"retained",123.7,517
"AK",1,"retained",123.5,516.5
"AK",1,"retained",123.5,516.4
"AK",1,"retained",123.7,516
"AK",1,"retained",123.8,516
"AK",1,"retained",123.9,515.7
"AK",1,"retained",124.1,515.6
"AK",1,"retained",124.4,515.4
"AK",1,"retained",124.6,515
"AK",1,"retained",124.9,514.7
"AK",1,"retained",124.9,514.6
"AK",1,"retained",125.3,514.4
"AK",1,"retained",125.6,514.4
"AK",1,"retained",125.8,514.5
"AK",1,"retained",126,514.8
"AK",1,"retained",126.1,514.8
"AK",1,"retained",126.3,514.6
"AK",1,"retained",126.4,514.6
"AK",1,"retained",126.6,514.3
"AK",1,"retained",126.5,514.3
"AK",1,"retained",126.4,514.2
"AK",1,"retained",126.6,514.1
"AK",1,"retained",127,514.4
"AK",1,"retained",127.3,514.5
"AK",1,"retained",127.6,514.2
"AK",1,"retained",127.6,513.8
"AK",1,"retained",127.7,513.5
"AK",1,"retained",127.5,513.3
"AK",1,"retained",127.4,513.3
"AK",1,"retained",127,512.9
"AK",1,"retained",126.8,513.1
"AK",1,"retained",126.6,513.2
"AK",1,"retained",126.4,513
"AK",1,"retained",126.2,512.8
"AK",1,"retained",125.8,512.7
"AK",1,"retained",125.5,512.7
"AK",1,"retained",125.4,512.7
"AK",1,"retained",125.2,512.6
"AK",1,"retained",124.7,512.3
"AK",1,"retained",124.6,512.2
"AK",1,"retained",124.7,511.8
"AK",1,"retained",124.5,511.5
"AK",1,"retained",124.5,511.4
"AK",1,"retained",124.6,511.1
"AK",1,"retained",124.4,511
"AK",1,"retained",124.1,510.6
"AK",1,"retained",124.1,510.4
"AK",1,"retained",124.5,510.3
"AK",1,"retained",125.1,510.1
"AK",1,"retained",125.9,509.8
"AK",1,"retained",126.5,509.7
"AK",1,"retained",126.9,509.9
"AK",1,"retained",127.5,509.5
"AK",1,"retained",127.4,509.4
"AK",1,"retained",127,509.2
"AK",1,"retained",127,508.5
"AK",1,"retained",126.8,508.2
"AK",1,"retained",126.5,507.7
"AK",1,"retained",126.2,507.5
"AK",1,"retained",126.1,507.3
"AK",1,"retained",125.8,507.1
"AK",1,"retained",125.9,507
"AK",1,"retained",126.1,507
"AK",1,"retained",126.2,506.8
"AK",1,"retained",126.4,506.4
"AK",1,"retained",126.5,506.3
"AK",1,"retained",126.9,506.5
"AK",1,"retained",127.4,506.5
"AK",1,"retained",127.8,506.3
"AK",1,"retained",128.1,506
"AK",1,"retained",128.1,505.8
"AK",1,"retained",128.3,505.5
"AK",1,"retained",128.7,505.1
"AK",1,"retained",129,504.9
"AK",1,"retained",129.3,505
"AK",1,"retained",129.5,504.9
"AK",1,"retained",129.7,504.8
"AK",1,"retained",130.1,504.5
"AK",1,"retained",130.4,504.4
"AK",1,"retained",130.6,504.3
"AK",1,"retained",130.9,504.5
"AK",1,"retained",131.2,504.4
"AK",1,"retained",131.5,504
"AK",1,"retained",131.7,503.9
"AK",1,"retained",132,504
"AK",1,"retained",132.4,504.3
"AK",1,"retained",132.6,504.5
"AK",1,"retained",132.8,504.7
"AK",1,"retained",133.1,504.7
"AK",1,"retained",133.5,504.7
"AK",1,"retained",133.6,504.8
"AK",1,"retained",134,505.4
"AK",1,"retained",134.2,505.3
"AK",1,"retained",134.5,505.3
"AK",1,"retained",134.8,505.2
"AK",1,"retained",135.3,505.4
"AK",1,"retained",135.6,505.3
"AK",1,"retained",135.7,505.5
"AK",1,"retained",135.8,505.5
"AK",1,"retained",136.2,505.7
"AK",1,"retained",136.5,505.8
"AK",1,"retained",136.9,506
"AK",1,"retained",137.2,506.1
"AK",1,"retained",137.2,506
"AK",1,"retained",137.5,505.8
"AK",1,"retained",137.8,505.8
"AK",1,"retained",138.1,505.9
"AK",1,"retained",138.4,506.1
"AK",1,"retained",138.8,506.3
"AK",1,"retained",139,506.3
"AK",1,"retained",140.2,517.6
"AK",2,"retained",132.5,523.3
"AK",2,"retained",132.5,523.6
"AK",2,"retained",132.4,523.8
"AK",2,"retained",132.3,524
"AK",2,"retained",132.1,524
"AK",2,"retained",131.9,524.1
"AK",2,"retained",131.9,524.3
"AK",2,"retained",131.7,524.3
"AK",2,"retained",131.6,524.4
"AK",2,"retained",131.4,524.4
"AK",2,"retained",131.1,524.8
"AK",2,"retained",131,525
"AK",2,"retained",130.9,525.1
"AK",2,"retained",130.5,525.1
"AK",2,"retained",130.3,525.2
"AK",2,"retained",130.2,525.1
"AK",2,"retained",130.3,524.9
"AK",2,"retained",130.5,524.8
"AK",2,"retained",130.6,524.8
"AK",2,"retained",130.8,524.7
"AK",2,"retained",130.5,524.4
"AK",2,"retained",130.5,524.1
"AK",2,"retained",130.3,523.9
"AK",2,"retained",130.5,523.5
"AK",2,"retained",130.8,523.3
"AK",2,"retained",130.9,523.3
"AK",2,"retained",131.2,523
"AK",2,"retained",131.4,523
"AK",2,"retained",131.5,522.9
"AK",2,"retained",131.7,522.6
"AK",2,"retained",132.1,522.1
"AK",2,"retained",132.3,521.9
"AK",2,"retained",132.5,522.1
"AK",2,"retained",132.5,522.4
"AK",2,"retained",132.7,522.5
"AK",2,"retained",132.8,522.5
"AK",2,"retained",132.8,522.9
"AK",2,"retained",132.3,523
"AK",2,"retained",132.4,523.1
"AK",2,"retained",132.5,523.3
"AK",3,"retained",120.6,526.6
"AK",3,"retained",120.7,526.4
"AK",3,"retained",121,526.4
"AK",3,"retained",121.2,526.3
"AK",3,"retained",121.4,526.4
"AK",3,"retained",121.4,526.5
"AK",3,"retained",121.6,526.7
"AK",3,"retained",121.8,526.6
"AK",3,"retained",121.9,526.8
"AK",3,"retained",121.7,526.9
"AK",3,"retained",121.3,526.8
"AK",3,"retained",121.2,526.9
"AK",3,"retained",121.1,526.7
"AK",3,"retained",120.8,526.8
"AK",3,"retained",120.7,527
"AK",3,"retained",120.5,527.1
"AK",3,"retained",120.3,527.2
"AK",3,"retained",120,527.4
"AK",3,"retained",119.7,527.3
"AK",3,"retained",119.2,527.5
"AK",3,"retained",119.1,527.4
"AK",3,"retained",118.9,527.3
"AK",3,"retained",118.6,527.3
"AK",3,"retained",118.4,527.6
"AK",3,"retained",118.3,527.5
"AK",3,"retained",117.7,527.6
"AK",3,"retained",117.6,527.6
"AK",3,"retained",117.8,527.3
"AK",3,"retained",118,527.3
"AK",3,"retained",118.2,527.1
"AK",3,"retained",118.5,527
"AK",3,"retained",118.7,526.8
"AK",3,"retained",119,526.7
"AK",3,"retained",119.2,527
"AK",3,"retained",119.2,527.1
"AK",3,"retained",119.6,527
"AK",3,"retained",119.8,526.8
"AK",3,"retained",119.8,526.6
"AK",3,"retained",120,526.5
"AK",3,"retained",120.2,526.5
"AK",3,"retained",120.6,526.6
"AK",4,"retained",121.4,513
"AK",4,"retained",121.1,513.1
"AK",4,"retained",121,512.9
"AK",4,"retained",120.9,512.7
"AK",4,"retained",121.1,512.3
"AK",4,"retained",121.3,512.2
"AK",4,"retained",121.3,512.4
"AK",4,"retained",121.6,512.7
"AK",4,"retained",121.9,512.6
"AK",4,"retained",122,512.6
"AK",4,"retained",122.2,512.9
"AK",4,"retained",122.1,513
"AK",4,"retained",122.4,513.3
"AK",4,"retained",122.8,513.5
"AK",4,"retained",122.8,513.7
"AK",4,"retained",122.5,513.8
"AK",4,"retained",122.3,513.7
"AK",4,"retained",122,513.9
"AK",4,"retained",121.9,513.8
"AK",4,"retained",121.9,513.7
"AK",4,"retained",121.8,513.5
"AK",4,"retained",121.7,513.5
"AK",4,"retained",121.7,513.2
"AK",4,"retained",121.4,513
"AK",5,"retained",123.3,517.9
"AK",5,"retained",123.4,518.1
"AK",5,"retained",123.5,518.3
"AK",5,"retained",123.4,518.6
"AK",5,"retained",123.5,518.7
"AK",5,"retained",123.4,518.8
"AK",5,"retained",123.1,518.9
"AK",5,"retained",122.9,519
"AK",5,"retained",122.7,518.8
"AK",5,"retained",122.6,518.7
"AK",5,"retained",122.4,518.5
"AK",5,"retained",122.2,518.3
"AK",5,"retained",122.2,517.9
"AK",5,"retained",122.3,517.9
"AK",5,"retained",122.6,518
"AK",5,"retained",122.9,517.9
"AK",5,"retained",123,517.9
"AK",5,"retained",123.3,517.9
"AK",6,"retained",117.4,527.5
"AK",6,"retained",117.2,527.4
"AK",6,"retained",117,527.5
"AK",6,"retained",116.8,527.4
"AK",6,"retained",117.1,527.1
"AK",6,"retained",117.3,527.2
"AK",6,"retained",117.3,526.9
"AK",6,"retained",117.4,526.9
"AK",6,"retained",117.5,527.2
"AK",6,"retained",117.4,527.5
"AK",7,"retained",123.3,526.8
"AK",7,"retained",123.5,526.6
"AK",7,"retained",123.9,526.8
"AK",7,"retained",123.9,527
"AK",7,"retained",123.5,527.1
"AK",7,"retained",123.3,526.8
"AK",8,"outline",140.2,517.6
"AK",8,"outline",139,506.3
"AK",8,"outline",138.8,506.3
"AK",8,"outline",138.4,506.1
"AK",8,"outline",138.1,505.9
"AK",8,"outline",137.8,505.8
"AK",8,"outline",137.5,505.8
"AK",8,"outline",137.2,506
"AK",8,"outline",137.2,506.1
"AK",8,"outline",136.9,506
"AK",8,"outline",136.5,505.8
"AK",8,"outline",136.2,505.7
"AK",8,"outline",135.8,505.5
"AK",8,"outline",135.7,505.5
"AK",8,"outline",135.6,505.4
"AK",8,"outline",135.3,505.4
"AK",8,"outline",134.8,505.2
"AK",8,"outline",134.5,505.3
"AK",8,"outline",134.2,505.3
"AK",8,"outline",134,505.4
"AK",8,"outline",133.6,504.8
"AK",8,"outline",133.5,504.7
"AK",8,"outline",133.1,504.7
"AK",8,"outline",132.8,504.7
"AK",8,"outline",132.6,504.5
"AK",8,"outline",132.4,504.3
"AK",8,"outline",132,504
"AK",8,"outline",131.7,503.9
"AK",8,"outline",131.5,504
"AK",8,"outline",131.2,504.4
"AK",8,"outline",130.9,504.5
"AK",8,"outline",130.6,504.3
"AK",8,"outline",130.4,504.4
"AK",8,"outline",130.1,504.5
"AK",8,"outline",129.7,504.8
"AK",8,"outline",129.5,504.9
"AK",8,"outline",129.3,505
"AK",8,"outline",129,504.9
"AK",8,"outline",128.7,505.1
"AK",8,"outline",128.3,505.5
"AK",8,"outline",128.1,505.8
"AK",8,"outline",128.1,506
"AK",8,"outline",127.8,506.3
"AK",8,"outline",127.4,506.5
"AK",8,"outline",126.9,506.5
"AK",8,"outline",126.5,506.3
"AK",8,"outline",126.4,506.4
"AK",8,"outline",126.2,506.8
"AK",8,"outline",126.1,507
"AK",8,"outline",125.9,507
"AK",8,"outline",125.8,507.1
"AK",8,"outline",126.1,507.3
"AK",8,"outline",126.2,507.5
"AK",8,"outline",126.5,507.7
"AK",8,"outline",126.8,508.2
"AK",8,"outline",127,508.5
"AK",8,"outline",127,509.2
"AK",8,"outline",127.4,509.4
"AK",8,"outline",127.5,509.5
"AK",8,"outline",126.9,509.9
"AK",8,"outline",126.5,509.7
"AK",8,"outline",125.9,509.8
"AK",8,"outline",125.1,510.1
"AK",8,"outline",124.5,510.3
"AK",8,"outline",124.1,510.4
"AK",8,"outline",124.1,510.6
"AK",8,"outline",124.4,511
"AK",8,"outline",124.6,511.1
"AK",8,"outline",124.5,511.4
"AK",8,"outline",124.5,511.5
"AK",8,"outline",124.7,511.8
"AK",8,"outline",124.6,512.2
"AK",8,"outline",124.7,512.3
"AK",8,"outline",125.2,512.6
"AK",8,"outline",125.4,512.7
"AK",8,"outline",125.5,512.7
"AK",8,"outline",125.8,512.7
"AK",8,"outline",126.2,512.8
"AK",8,"outline",126.4,513
"AK",8,"outline",126.6,513.2
"AK",8,"outline",126.8,513.1
"AK",8,"outline",127,512.9
"AK",8,"outline",127.4,513.3
"AK",8,"outline",127.5,513.3
"AK",8,"outline",127.7,513.5
"AK",8,"outline",127.6,513.8
"AK",8,"outline",127.6,514.2
"AK",8,"outline",127.3,514.5
"AK",8,"outline",127,514.4
"AK",8,"outline",126.6,514.1
"AK",8,"outline",126.4,514.2
"AK",8,"outline",126.5,514.3
"AK",8,"outline",126.6,514.3
"AK",8,"outline",126.4,514.6
"AK",8,"outline",126.3,514.6
"AK",8,"outline",126.1,514.8
"AK",8,"outline",126,514.8
"AK",8,"outline",125.8,514.5
"AK",8,"outline",125.6,514.4
"AK",8,"outline",125.3,514.4
"AK",8,"outline",124.9,514.6
"AK",8,"outline",124.9,514.7
"AK",8,"outline",124.6,515
"AK",8,"outline",124.4,515.4
"AK",8,"outline",124.1,515.6
"AK",8,"outline",123.9,515.7
"AK",8,"outline",123.8,516
"AK",8,"outline",123.7,516
"AK",8,"outline",123.5,516.4
"AK",8,"outline",123.5,516.5
"AK",8,"outline",123.7,517
"AK",8,"outline",123.7,517.2
"AK",8,"outline",123.9,517.3
"AK",8,"outline",124,517.5
"AK",8,"outline",124,517.7
"AK",8,"outline",123.6,517.9
"AK",8,"outline",123.9,518.4
"AK",8,"outline",124,518.5
"AK",8,"outline",124.2,518.9
"AK",8,"outline",124.1,519
"AK",8,"outline",124.3,519.4
"AK",8,"outline",124.5,519.5
"AK",8,"outline",124.5,519.3
"AK",8,"outline",125,519.4
"AK",8,"outline",125.2,519.4
"AK",8,"outline",125.3,519.3
"AK",8,"outline",125.5,519.3
"AK",8,"outline",125.6,519.5
"AK",8,"outline",125.8,519.9
"AK",8,"outline",125.5,520.2
"AK",8,"outline",125.5,520.4
"AK",8,"outline",125.6,520.7
"AK",8,"outline",125.6,520.9
"AK",8,"outline",125.5,521
"AK",8,"outline",125.3,521
"AK",8,"outline",125.3,521.2
"AK",8,"outline",125.5,521.3
"AK",8,"outline",125.6,521.4
"AK",8,"outline",126,521.2
"AK",8,"outline",126,521.4
"AK",8,"outline",126.1,521.5
"AK",8,"outline",126.2,521.4
"AK",8,"outline",126.5,521.1
"AK",8,"outline",126.7,521.1
"AK",8,"outline",126.7,521.2
"AK",8,"outline",126.9,521.3
"AK",8,"outline",127.1,521.2
"AK",8,"outline",127.2,521.3
"AK",8,"outline",127.4,521.9
"AK",8,"outline",127.5,522
"AK",8,"outline",127.6,522
"AK",8,"outline",127.8,521.9
"AK",8,"outline",128.1,521.8
"AK",8,"outline",128.2,521.9
"AK",8,"outline",127.9,522.6
"AK",8,"outline",127.3,523.9
"AK",8,"outline",127.2,523.9
"AK",8,"outline",127,524.1
"AK",8,"outline",126.4,524.3
"AK",8,"outline",125.9,524.6
"AK",8,"outline",125.7,524.9
"AK",8,"outline",125.2,524.8
"AK",8,"outline",124.7,524.9
"AK",8,"outline",124.3,525.1
"AK",8,"outline",124.1,525.3
"AK",8,"outline",123.7,525.5
"AK",8,"outline",123.5,525.6
"AK",8,"outline",123.1,525.7
"AK",8,"outline",122.8,525.7
"AK",8,"outline",122.5,525.8
"AK",8,"outline",122.2,525.8
"AK",8,"outline",122,526.1
"AK",8,"outline",121.8,526.1
"AK",8,"outline",121.8,526.3
"AK",8,"outline",121.8,526.5
"AK",8,"outline",122,526.6
"AK",8,"outline",122.2,526.6
"AK",8,"outline",122.5,526.4
"AK",8,"outline",123.3,526.5
"AK",8,"outline",123.5,526.4
"AK",8,"outline",123.4,526.2
"AK",8,"outline",123.8,526.2
"AK",8,"outline",123.9,526.8
"AK",8,"outline",124,526.6
"AK",8,"outline",124.1,526.7
"AK",8,"outline",124.3,526.6
"AK",8,"outline",124.6,526.5
"AK",8,"outline",124.6,526.3
"AK",8,"outline",124.7,526.3
"AK",8,"outline",125.2,525.9
"AK",8,"outline",125.2,526.2
"AK",8,"outline",125.4,526.3
"AK",8,"outline",125.7,526.2
"AK",8,"outline",125.7,526.4
"AK",8,"outline",125.6,526.5
"AK",8,"outline",125.6,526.7
"AK",8,"outline",126,526.6
"AK",8,"outline",126.2,526.6
"AK",8,"outline",126.4,526.8
"AK",8,"outline",126.6,526.7
"AK",8,"outline",126.4,526.4
"AK",8,"outline",126.5,526.2
"AK",8,"outline",126.2,526.2
"AK",8,"outline",126,525.9
"AK",8,"outline",126.1,525.8
"AK",8,"outline",126.4,525.8
"AK",8,"outline",126.5,525.7
"AK",8,"outline",127.6,525.9
"AK",8,"outline",128.1,525.4
"AK",8,"outline",129.1,524.5
"AK",8,"outline",129.2,524
"AK",8,"outline",129.4,523.7
"AK",8,"outline",129.6,523.6
"AK",8,"outline",129.8,523.4
"AK",8,"outline",130.1,523.3
"AK",8,"outline",130.3,523.1
"AK",8,"outline",130.4,522.9
"AK",8,"outline",130.8,522.9
"AK",8,"outline",131,522.8
"AK",8,"outline",131.2,522.3
"AK",8,"outline",131.5,522.2
"AK",8,"outline",131.6,522.1
"AK",8,"outline",131.8,521.9
"AK",8,"outline",131.8,521.7
"AK",8,"outline",131.9,521.6
"AK",8,"outline",133.1,521.5
"AK",8,"outline",133.4,521.4
"AK",8,"outline",133.8,521.3
"AK",8,"outline",134.4,521
"AK",8,"outline",134.5,520.7
"AK",8,"outline",134.7,520.5
"AK",8,"outline",134.9,520.4
"AK",8,"outline",135.4,520.5
"AK",8,"outline",135.6,520.7
"AK",8,"outline",135.8,520.7
"AK",8,"outline",136,520.5
"AK",8,"outline",136.1,520.3
"AK",8,"outline",136.3,520.2
"AK",8,"outline",136.8,519.9
"AK",8,"outline",137.1,519.8
"AK",8,"outline",137.4,520
"AK",8,"outline",137.8,520.1
"AK",8,"outline",138,520.2
"AK",8,"outline",137.8,520.5
"AK",8,"outline",137.9,520.6
"AK",8,"outline",138.1,520.6
"AK",8,"outline",138.3,520.3
"AK",8,"outline",138.6,520.2
"AK",8,"outline",139.2,520.1
"AK",8,"outline",139.3,520.1
"AK",8,"outline",139.8,520.2
"AK",8,"outline",140.5,520.5
"AK",8,"outline",140.9,520.5
"AK",8,"outline",141.6,520.8
"AK",8,"outline",142.1,521
"AK",8,"outline",142.3,521.1
"AK",8,"outline",142.6,521.2
"AK",8,"outline",142.8,521.4
"AK",8,"outline",142.8,521.5
"AK",8,"outline",143,521.7
"AK",8,"outline",143.5,522
"AK",8,"outline",143.6,522
"AK",8,"outline",143.8,522.2
"AK",8,"outline",143.9,522.2
"AK",8,"outline",144,522.5
"AK",8,"outline",144.1,522.6
"AK",8,"outline",144.8,523.7
"AK",8,"outline",145.8,524.6
"AK",8,"outline",146.1,524.9
"AK",8,"outline",146,525.1
"AK",8,"outline",146.1,525.1
"AK",8,"outline",146.4,525.2
"AK",8,"outline",146.5,525
"AK",8,"outline",146.6,525.1
"AK",8,"outline",146.8,525.3
"AK",8,"outline",146.8,525.6
"AK",8,"outline",147,525.9
"AK",8,"outline",147,526.1
"AK",8,"outline",147.2,526.6
"AK",8,"outline",149.1,526
"AK",8,"outline",149.5,526
"AK",8,"outline",149.7,525.6
"AK",8,"outline",149.8,525.1
"AK",8,"outline",149.8,525
"AK",8,"outline",149.6,524.6
"AK",8,"outline",149.5,524.4
"AK",8,"outline",149.6,524.1
"AK",8,"outline",149.4,523.9
"AK",8,"outline",149.2,523.9
"AK",8,"outline",149.1,523.8
"AK",8,"outline",148.8,523.7
"AK",8,"outline",148.6,523.7
"AK",8,"outline",148.1,523.5
"AK",8,"outline",147.9,523.6
"AK",8,"outline",147.8,523.3
"AK",8,"outline",147.6,523.2
"AK",8,"outline",147.6,523
"AK",8,"outline",147.4,523
"AK",8,"outline",147.4,522.8
"AK",8,"outline",147.1,522.5
"AK",8,"outline",146.8,522.1
"AK",8,"outline",146.6,521.9
"AK",8,"outline",146.4,521.7
"AK",8,"outline",146.2,521.4
"AK",8,"outline",146.2,521.3
"AK",8,"outline",145.9,521.1
"AK",8,"outline",145.8,521
"AK",8,"outline",145.4,520.9
"AK",8,"outline",145.3,520.7
"AK",8,"outline",145.2,520.5
"AK",8,"outline",145,520.4
"AK",8,"outline",144.8,520.4
"AK",8,"outline",144.7,520.2
"AK",8,"outline",144.7,520
"AK",8,"outline",144.3,519.7
"AK",8,"outline",144,520
"AK",8,"outline",143.9,520.1
"AK",8,"outline",143.8,520.3
"AK",8,"outline",143.7,520.3
"AK",8,"outline",143.8,520.6
