"state","house_seat","state_seat","priority"
"Kansas",167,2,2079505.5840542
"New Jersey",168,5,2078311.8164396
"Arizona",169,4,2066603.0605789
"Florida",170,11,2056669.0524812
"Alabama",171,3,2053510.5381926
"Massachusetts",172,4,2030387.6102434
"California",173,20,2030244.7963868
"Texas",174,15,2013838.3337301
"Pennsylvania",175,7,2007771.1183841
"Tennessee",176,4,1996736.1724534
"Illinois",177,7,1978591.5833895
"Indiana",178,4,1960184.9929364
"Georgia",179,6,1958158.1684079
"Virginia",180,5,1935214.4226127
"California",181,21,1931148.0021685
"New York",182,11,1927496.2292004
"North Carolina",183,6,1908621.0448621
"Louisiana",184,3,1903036.342052
"Texas",185,16,1883773.2692923
"Florida",186,12,1877473.3889446
"California",187,22,1841277.3743637
"Michigan",188,6,1841158.7877509
"Kentucky",189,3,1840931.1626169
"Ohio",190,7,1822144.8055931
"Maryland",191,4,1785535.9591563
"Missouri",192,4,1778319.9468169
"Texas",193,17,1769496.8701915
"New York",194,12,1759555.273732
"California",195,23,1759401.4515347
"Pennsylvania",196,8,1738780.7935053
"Oregon",197,3,1731585.1240025
"Florida",198,13,1727024.3325563
"Washington",199,5,1725337.9766718
"Illinois",200,8,1713510.5749294
"Wisconsin",201,4,1702453.8120443
"New Jersey",202,6,1696934.4922247
"California",203,24,1684498.6431252
"Colorado",204,4,1669168.9916752
"Texas",205,18,1668297.6482678
"Georgia",206,7,1654945.7074613
"Minnesota",207,4,1648263.427103
"New York",208,13,1618555.4427066
"Oklahoma",209,3,1618098.6312262
"California",210,25,1615714.3387355
"North Carolina",211,7,1613079.1967295
"Arizona",212,5,1600783.8473687
"Florida",213,14,1598913.839877
"Virginia",214,6,1580095.9594253
"Texas",215,19,1578051.5923571
"Ohio",216,8,1578023.6910175
"Massachusetts",217,5,1572731.4801638
"Michigan",218,7,1556063.1830984
"California",219,26,1552328.1248287
"Tennessee",220,5,1546665.1885364
"Pennsylvania",221,9,1533460.5213569
"Indiana",222,5,1518352.7666257
"Illinois",223,9,1511174.2833809
"New Mexico",224,2,1499221.9396073
"New York",225,14,1498491.1614541
"Texas",226,20,1497071.1891312
"California",227,27,1493728.4345674
"Florida",228,15,1488507.7779565
"South Carolina",229,4,1479376.9263596
"Connecticut",230,3,1473081.4899842
"Alabama",231,4,1452051.226794
"California",232,28,1439392.7358206
"New Jersey",233,7,1434171.4060992
"Georgia",234,8,1433225.0245455
"Texas",235,21,1423998.741994
"Washington",236,6,1408732.5588973
"North Carolina",237,8,1396967.5626839
"New York",238,15,1395019.3521342
"Florida",239,16,1392371.5306653
"Ohio",240,9,1391686.0831336
"California",241,29,1388871.8951648
"Nebraska",242,2,1388286.0780273
"Maryland",243,5,1383070.2067734
"Missouri",244,5,1377480.70765
"Pennsylvania",245,10,1371568.7866266
"Texas",246,22,1357729.5276239
"Illinois",247,10,1351635.3693957
"Michigan",248,8,1347590.2464569
"Louisiana",249,4,1345649.9023094
"California",250,30,1341777.7256685
"Utah",251,3,1337116.0298383
"Virginia",252,7,1335424.8229876
"Wisconsin",253,5,1318715.052347
"Florida",254,17,1307905.312077
"Arizona",255,6,1307034.5381809
"New York",256,16,1304921.1159013
"Iowa",257,3,1303294.2919666
"Idaho",258,2,1302050.1634209
"Kentucky",259,4,1301734.908784
"California",260,31,1297772.9868573
"Texas",261,23,1297355.4853562
"Colorado",262,5,1292932.7413528
"Massachusetts",263,6,1284129.8762711
"Minnesota",264,5,1276739.3606665
"West Virginia",265,2,1269288.492035
"Nevada",266,3,1269024.2974719
"Georgia",267,9,1263985.6625807
"Tennessee",268,6,1262846.83828
"California",269,32,1256563.291314
"Ohio",270,10,1244761.8740908
"Texas",271,24,1242123.3100764
"New Jersey",272,8,1242028.8710631
"Pennsylvania",273,11,1240630.64711
"Indiana",274,6,1239729.8425921
"Florida",275,18,1233104.9537594
"North Carolina",276,9,1232009.5868286
"Arkansas",277,3,1230360.7348752
"New York",278,17,1225759.9510909
"Oregon",279,4,1224415.5833839
"Illinois",280,11,1222600.1928161
"California",281,33,1217890.5068141
"Mississippi",282,3,1210012.8235819
"Kansas",283,3,1200603.108735
"Texas",284,25,1191402.8252612
"Washington",285,7,1190596.3159266
"Michigan",286,9,1188462.8871138
"California",287,34,1181527.3411841
"Florida",288,19,1166400.5148265
"Virginia",289,8,1156511.8215516
"New York",290,18,1155657.5646977
"California",291,35,1147272.8696827
"South Carolina",292,5,1145920.4397109
"Texas",293,26,1144662.8090835
"Oklahoma",294,4,1144168.5147687
"Pennsylvania",295,12,1132535.6515906
"Georgia",296,10,1130543.1456462
"Maryland",297,6,1129272.0950135
"Ohio",298,11,1125929.4790088
"Alabama",299,5,1124754.0438427
"Missouri",300,6,1124708.2880902
"Illinois",301,12,1116076.1740259
"California",302,36,1114948.8188969
"Florida",303,20,1106544.6872535
"Arizona",304,7,1104645.8010207
"North Carolina",305,10,1101942.8740321
"Texas",306,27,1101452.3015927
"New Jersey",307,9,1095366.5046652
"New York",308,19,1093142.6188153
"Massachusetts",309,7,1085287.8285545
"California",310,37,1084396.4619384
"Wisconsin",311,6,1076726.3314592
"Tennessee",312,7,1067300.3784427
"Michigan",313,10,1062993.5217288
"Texas",314,28,1061385.9956577
"Colorado",315,6,1055675.1626841
"California",316,38,1055474.0107487
"Florida",317,21,1052533.943642
"Indiana",318,7,1047762.9511806
"Minnesota",319,6,1042453.3227201
"Louisiana",320,5,1042335.932294
"Pennsylvania",321,13,1041781.2786599
"Connecticut",322,4,1041625.9108082
"New York",323,20,1037046.1448572
"Hawaii",324,2,1032472.7741614
"Washington",325,8,1031086.6552446
"California",326,39,1028054.4150589
"Ohio",327,12,1027828.2896886
"Illinois",328,13,1026640.7613972
"Texas",329,29,1024132.7072212
"Georgia",330,11,1022614.7518409
"Virginia",331,9,1019947.556044
"Kentucky",332,5,1008319.5245795
"Florida",333,22,1003551.7391736
"California",334,40,1002023.495885
"North Carolina",335,11,996744.8327919
"Texas",336,30,989406.1932291
"New York",337,21,986427.6437805
"New Jersey",338,10,979725.5858831
"California",339,41,977278.3557077
"New Hampshire",340,2,975163.1837598
"Pennsylvania",341,14,964502.0473501
"Maine",342,2,964198.0789039
"Michigan",343,11,961513.8180417
"Florida",344,23,958926.8901989
"Texas",345,31,956957.7777588
"Arizona",346,8,956651.3258677
"Maryland",347,7,954409.1158468
"California",348,42,953726.018626
"Missouri",349,7,950551.9950078
"Illinois",350,14,950484.6521474
"Oregon",351,5,948428.2326565
"Utah",352,4,945483.8119319
"Ohio",353,13,945464.5144024
"New York",354,22,940521.8553423
"Massachusetts",355,8,939886.8299463
"South Carolina",356,6,935640.1210392
"Georgia",357,12,933515.2787013
"California",358,43,931282.2625944
"Texas",359,32,926570.3840709
"Tennessee",360,8,924309.2412001
"Iowa",361,4,921568.2317313
"Alabama",362,6,918357.8311822
"Florida",363,24,918102.599033
"Virginia",364,10,912268.8275197
"Wisconsin",365,7,909999.840211
"North Carolina",366,12,909899.3816614
"California",367,44,909870.6128069
"Washington",368,9,909332.9566449
"Indiana",369,8,907389.3328665
"New York",370,23,898699.7507973
"Texas",371,33,898053.6694455
"Pennsylvania",372,15,897902.5407936
"Nevada",373,4,897335.6862329
"Colorado",374,7,892208.3553536
"California",375,45,889421.4708712
"Oklahoma",376,5,886269.1205908
"New Jersey",377,11,886195.1361505
"Illinois",378,15,884853.0560337
"Minnesota",379,7,881033.8610527
"Florida",380,25,880613.0772155
"Michigan",381,12,877738.0124906
"Ohio",382,14,875330.0510555
"Texas",383,34,871240.0321407
"Arkansas",384,4,869996.4189359
"California",385,46,869871.3588709
"New Mexico",386,3,865576.1904073
"New York",387,24,860439.5031472
"Georgia",388,13,858709.1623368
"Mississippi",389,4,855608.2728774
"California",390,47,851162.2610052
"Louisiana",391,6,851063.7248962
"Kansas",392,4,848954.5997002
"Florida",393,26,846065.6776268
"Texas",394,35,845981.3133522
"Arizona",395,9,843687.1665487
"Pennsylvania",396,16,839910.9185908
"North Carolina",397,13,836985.6966072
"California",398,48,833241.0484282
"Massachusetts",399,9,828902.2708609
"Illinois",400,16,827704.2433294
"Maryland",401,8,826542.5399268
"New York",402,25,825304.5786194
"Virginia",403,11,825178.2024055
"Kentucky",404,6,823289.4443018
"Missouri",405,8,823202.1752947
"Texas",406,36,822146.0570159
"California",407,49,816058.9752716
"Tennessee",408,9,815164.1289115
"Ohio",409,15,814887.9300309
"Florida",410,27,814127.0778832
"Washington",411,10,813332.1220956
"New Jersey",412,12,808981.7773683
"Michigan",413,13,807401.5398072
"Connecticut",414,5,806839.9611077
"Nebraska",415,3,801527.3408613
"Indiana",416,9,800242.1723592
"Texas",417,37,799617.2203731
"California",418,50,799571.2357733
"Georgia",419,14,795010.2023503
"New York",420,26,792926.9910072
"South Carolina",421,7,790760.2291909
"Pennsylvania",422,17,788958.9293538
"Wisconsin",423,8,788082.9790625
"Florida",424,28,784512.4822032
"California",425,51,783736.5740506
"Texas",426,38,778290.2510972
"Illinois",427,17,777492.7545106
"Rhode Island",428,2,776518.5041482
"Alabama",429,7,776154.0283869
"North Carolina",430,14,774898.1811411
"Oregon",431,6,774388.4092194
"Colorado",432,8,772675.101205
"California",433,52,768516.9393465
"Montana",434,2,767498.6500473
"Minnesota",435,8,762997.705266
"New York",436,27,762994.3528429
"Ohio",437,16,762257.8606982
"Texas",438,39,758071.46428
"Florida",439,29,756977.099316
"Arizona",440,10,754616.7424589
"California",441,53,753877.1806929
"Virginia",442,12,753281.1923651
"Idaho",443,3,751739.0123495
"Michigan",444,14,747508.5741408
"New Jersey",445,13,744155.0023221
