# Findings from check-contrast.js that have been read.
#
# NOT a list of things that are fine. It is a list of things looked at and
# deliberately left, which is a different claim. Fix one and delete its line.
#
# The key is the colour pair, not the words: slug + fill + background. A label
# can be reworded without un-reviewing the finding, but a new colour, or the
# same colour landing on a new background, is reported.
#
# Two kinds are recorded here, and they are not equally acceptable:
#
#   LIFTED   a token colour sitting on a mark. These are the residue of the
#            brief.css ink lift -- 599 such sites were repaired with .on-mark
#            and figure-scoped pins; these are what is left. They are a TODO,
#            not a decision. Several are a label colliding with a mark rather
#            than drawn on one, which wants a layout fix, not a colour.
#
#   DIM      a colour dim against its own background, as authored. Pre-existing,
#            and mostly a chapter's own scale with no dark counterpart.
#
# slug	fill	background	why it is still here
jury-selection	#9ca9b2	#8899aa	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
levels-of-aggregation	#77848d	#c41230	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
levels-of-aggregation	#c41230	#c41230	DIM: authored colour, dim on its own background; pre-existing
media-attention	#17557f	#101418	DIM: authored colour, dim on its own background; pre-existing
media-attention	#1c4c5c	#101418	DIM: authored colour, dim on its own background; pre-existing
media-attention	#31661a	#101418	DIM: authored colour, dim on its own background; pre-existing
media-attention	#5c3a7a	#101418	DIM: authored colour, dim on its own background; pre-existing
media-attention	#5f5f5f	#101418	DIM: authored colour, dim on its own background; pre-existing
media-attention	#7f0b20	#101418	DIM: authored colour, dim on its own background; pre-existing
midterm-loss	#542788	#101418	DIM: authored colour, dim on its own background; pre-existing
midterm-loss	#f4677f	#c41230	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
names	#00666e	#101418	DIM: authored colour, dim on its own background; pre-existing
names	#76838c	#bbbbbb	DIM: authored colour, dim on its own background; pre-existing
names	#8a3b2c	#101418	DIM: authored colour, dim on its own background; pre-existing
officeholder-age	#1d5c88	#101418	DIM: authored colour, dim on its own background; pre-existing
overplotting	#e3e8ea	#8fbfcd	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
party-id	#2b5c8a	#101418	DIM: authored colour, dim on its own background; pre-existing
party-id	#a33b2a	#101418	DIM: authored colour, dim on its own background; pre-existing
pie-radar	#1c4c5c	#101418	DIM: authored colour, dim on its own background; pre-existing
pie-radar	#6b4a87	#101418	DIM: authored colour, dim on its own background; pre-existing
policing	#999999	#f4f4f4	DIM: authored colour, dim on its own background; pre-existing
policing	#9a9a9a	#f4f4f4	DIM: authored colour, dim on its own background; pre-existing
policing	#aaaaaa	#f4f4f4	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#4a3b73	#101418	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#629ea3	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#6ca5a9	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#6ea6aa	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#6fa6ab	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#73a8ad	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#79acb0	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#7aacb0	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#7caeb2	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#83b2b5	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#85b3b7	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#8ab6ba	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#8cb7ba	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#98bec1	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#adcacc	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#b1ccce	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#b4ced0	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#b8d1d3	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#b9d1d3	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#bfd4d6	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#76838c	#cfdedf	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#8a4a05	#101418	DIM: authored colour, dim on its own background; pre-existing
poll-simulation	#e3e8ea	#dcdcdc	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
poll-weighting	#b2182b	#101418	DIM: authored colour, dim on its own background; pre-existing
precinct-geography	#6fa8dc	#e7f0f7	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
precinct-geography	#6fa8dc	#eaf2f8	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
precinct-geography	#8c8c8c	#eaf2f8	DIM: authored colour, dim on its own background; pre-existing
redlining	#4e5a63	#76a865	DIM: authored colour, dim on its own background; pre-existing
residual-votes	#f4677f	#fbeaed	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
returns-source	#8a3b2c	#101418	DIM: authored colour, dim on its own background; pre-existing
rollcalls-source	#1c4c5c	#101418	DIM: authored colour, dim on its own background; pre-existing
rollcalls-source	#8a3b2c	#101418	DIM: authored colour, dim on its own background; pre-existing
rpv	#01665e	#101418	DIM: authored colour, dim on its own background; pre-existing
rpv	#12181d	#01665e	DIM: authored colour, dim on its own background; pre-existing
rpv	#12181d	#8c510a	DIM: authored colour, dim on its own background; pre-existing
rpv	#4e5a63	#999999	DIM: authored colour, dim on its own background; pre-existing
rpv	#762a83	#101418	DIM: authored colour, dim on its own background; pre-existing
rpv	#762a83	#8c510a	DIM: authored colour, dim on its own background; pre-existing
rpv	#8c510a	#101418	DIM: authored colour, dim on its own background; pre-existing
rpv	#8c8c8c	#eeeeee	DIM: authored colour, dim on its own background; pre-existing
rpv	#e08214	#e08214	DIM: authored colour, dim on its own background; pre-existing
seat-forecast	#6fa8dc	#6fa8dc	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
seat-forecast	#77848d	#6fa8dc	LIFTED: token colour on a mark; needs .on-mark or a layout fix - TODO
section-203	#4e5a63	#2c7fb8	DIM: authored colour, dim on its own background; pre-existing
surnames	#00666e	#101418	DIM: authored colour, dim on its own background; pre-existing
surnames	#252525	#101418	DIM: authored colour, dim on its own background; pre-existing
surveys-source	#2b5c8a	#101418	DIM: authored colour, dim on its own background; pre-existing
surveys-source	#8a3b2c	#101418	DIM: authored colour, dim on its own background; pre-existing
sweet-spot	#2c7fb8	#2c7fb8	DIM: authored colour, dim on its own background; pre-existing
thermometers	#762a83	#101418	DIM: authored colour, dim on its own background; pre-existing
turnout-denominator	#54278f	#101418	DIM: authored colour, dim on its own background; pre-existing
uncertainty	#1c4c5c	#101418	DIM: authored colour, dim on its own background; pre-existing
uncertainty	#54278f	#101418	DIM: authored colour, dim on its own background; pre-existing
vote-dilution	#1a5c88	#101418	DIM: authored colour, dim on its own background; pre-existing
vote-dilution	#1a5c88	#4d9221	DIM: authored colour, dim on its own background; pre-existing
vote-dilution	#4d9221	#4d9221	DIM: authored colour, dim on its own background; pre-existing
vote-dilution	#8856a7	#4d9221	DIM: authored colour, dim on its own background; pre-existing
