"race","state","district","party","candidate","anchor","anchor_form","anchor_form_source","anchored","motive","motive_cluster","coordination","coordination_form","faction","business_pac_usd","fits_framework","bolded","errata","tables_disagree"
"MI-4R","MI","4","R","Moolenaar","IPO","coordination","coordination, from table 5.2",TRUE,"district interest","party interest",TRUE,"informal party organization","establishment (business-backed)",87650,"true","false","",FALSE
"MO-8R","MO","8","R","Smith","Party convention","coordination","coordination, from table 5.2",TRUE,"district interest","party interest",TRUE,"party convention","establishment (party-backed)",0,"true","false","",FALSE
"CO-4R","CO","4","R","Buck","National party leaders","coordination","coordination, from table 5.2",TRUE,"other party interest","party interest",TRUE,"informal party organization","insurgent",33500,"true","false","",FALSE
"CA-11D","CA","11","D","DeSaulnier","National party leaders","coordination","coordination, from table 5.2",TRUE,"other party interest","party interest",TRUE,"informal party organization",NA,NA,"true","false","",FALSE
"AL-1R","AL","1","R","Byrne","Chamber of commerce","money","named in chapter 6",TRUE,"group benefit","policy demander interest",TRUE,"informal party organization","establishment (business-backed)",197101,"true","false","",FALSE
"NC-7R","NC","7","R","Rouzer","Agriculture","coordination","coordination, from table 5.2",TRUE,"group benefit","policy demander interest",TRUE,"national party","establishment (business-backed)",149850,"true","false","",FALSE
"WA-4R","WA","4","R","Newhouse","IPO/agriculture","coordination","coordination, from table 5.2",TRUE,"group benefit","policy demander interest",TRUE,"informal party organization","establishment (business-backed)",223000,"true","false","",FALSE
"LA-6R","LA","6","R","Graves","Maritime business","money","named in chapter 6",TRUE,"group benefit","policy demander interest",TRUE,"group coordination","establishment (business-backed)",60159,"true","false","",FALSE
"GA-1R","GA","1","R","Carter","Pharmacists","money","named in chapter 6",TRUE,"group benefit","policy demander interest",FALSE,"","establishment (business-backed)",178600,"true","false","",FALSE
"AR-2R","AR","2","R","Hill","Finance","money","named in chapter 6",TRUE,"group benefit","policy demander interest",FALSE,"","establishment (business-backed)",38250,"true","false","",FALSE
"CA-45R","CA","45","R","Walters","Finance/self-anchored","none or unclassified","left over: stated in no table and no sentence",FALSE,"group benefit","policy demander interest",FALSE,"","establishment (business-backed)",242749,"true","false","",TRUE
"TX-36R","TX","36","R","Babin","Dentists/self-anchored","none or unclassified","left over: stated in no table and no sentence",FALSE,"group benefit","policy demander interest",FALSE,"","establishment (business-backed)",55500,"true","false","",TRUE
"NJ-1D","NJ","1","D","Norcross","County committee/unions","coordination","coordination, from table 5.2",TRUE,"group benefit","policy demander interest",TRUE,"local party",NA,NA,"true","false","",FALSE
"AZ-7D","AZ","7","D","Gallego","Unions","coordination","coordination, from table 5.2",TRUE,"group benefit","policy demander interest",TRUE,"group coordination",NA,NA,"true","false","",FALSE
"CA-35D","CA","35","D","Torres","Unions","coordination","coordination, from table 5.2",TRUE,"group benefit","policy demander interest",TRUE,"group coordination",NA,NA,"true","false","",FALSE
"IA-1D","IA","1","D","Murphy","Unions","coordination","coordination, from table 5.2",TRUE,"group benefit","policy demander interest",TRUE,"group coordination",NA,NA,"true","false","",FALSE
"PA-13D","PA","13","D","Boyle","Unions","coordination","coordination, from table 5.2",TRUE,"group benefit","policy demander interest",TRUE,"group coordination",NA,NA,"true","false","",FALSE
"MA-5D","MA","5","D","Clark","EMILYs List","campaign know-how","named in chapter 6",TRUE,"group benefit","policy demander interest",FALSE,"",NA,NA,"true","false","",FALSE
"ME-2D","ME","2","D","Cain","EMILYs List","campaign know-how","named in chapter 6",TRUE,"group benefit","policy demander interest",FALSE,"",NA,NA,"true","false","",FALSE
"MI-14D","MI","14","D","Lawrence","EMILYs List","campaign know-how","named in chapter 6",TRUE,"group benefit","policy demander interest",TRUE,"informal party organization",NA,NA,"true","false","table 10.1 prints MI-4D; Lawrence won MI-14D",FALSE
"NC-12D","NC","12","D","Adams","EMILYs List","campaign know-how","named in chapter 6",TRUE,"group benefit","policy demander interest",FALSE,"",NA,NA,"true","false","",FALSE
"MT-ALR","MT","AL","R","Zinke","Veterans","money","named in chapter 6",TRUE,"group benefit","policy demander interest",FALSE,"",NA,NA,"true","false","",FALSE
"CA-33D","CA","33","D","Lieu","Co-ethnic donors","money","named in chapter 6",TRUE,"group benefit","policy demander interest",FALSE,"",NA,NA,"true","false","",FALSE
"HI-1D","HI","1","D","Takai","Co-ethnic donors","money","named in chapter 6",TRUE,"group benefit","policy demander interest",FALSE,"",NA,NA,"true","false","",FALSE
"IL-2D","IL","2","D","Kelly","IPO/co-ethnic community","coordination","coordination, from table 5.2",TRUE,"group benefit","policy demander interest",TRUE,"informal party organization",NA,NA,"true","false","",FALSE
"MI-12D","MI","12","D","Dingell","Self and broad party support","none or unclassified","left over: stated in no table and no sentence",FALSE,"group benefit","policy demander interest",FALSE,"",NA,NA,"false","false","",FALSE
"NC-6R","NC","6","R","Walker","Faith-based volunteers","grassroots","named in chapter 6",TRUE,"ideology or values","policy demander interest",FALSE,"","insurgent",0,"true","false","",FALSE
"GA-10R","GA","10","R","Hice","Faith-based volunteers","grassroots","named in chapter 6",TRUE,"ideology or values","policy demander interest",FALSE,"","insurgent",1500,"true","false","",FALSE
"OK-5R","OK","5","R","Russell","Faith-based volunteers","grassroots","named in chapter 6",TRUE,"ideology or values","policy demander interest",FALSE,"","insurgent",12000,"true","false","",FALSE
"ME-2R","ME","2","R","Poliquin","Church association","grassroots","named in chapter 6",TRUE,"ideology or values","policy demander interest",FALSE,"","insurgent",0,"true","false","",FALSE
"AR-4R","AR","4","R","Westerman","Tea Party activists","grassroots","named in chapter 6",TRUE,"ideology or values","policy demander interest",FALSE,"","insurgent",10000,"true","false","",FALSE
"GA-11R","GA","11","R","Loudermilk","Faith-based and Tea Party volunteers","grassroots","named in chapter 6",TRUE,"ideology or values","policy demander interest",FALSE,"","insurgent",60500,"true","false","",FALSE
"WI-6R","WI","6","R","Grothman","Tea Party and GOP activists","none or unclassified","left over: stated in no table and no sentence",FALSE,"ideology or values","policy demander interest",FALSE,"","insurgent",4500,"true","false","",TRUE
"WV-2R","WV","2","R","Mooney","Conservative network","money","named in chapter 6",TRUE,"ideology or values","policy demander interest",FALSE,"","insurgent",12000,"true","false","",FALSE
"AL-6R","AL","6","R","Palmer","Club for Growth","money","named in chapter 6",TRUE,"ideology or values","policy demander interest",FALSE,"","insurgent",29000,"true","false","",FALSE
"SC-1R","SC","1","R","Sanford","Self-personal reputation","none or unclassified","left over: stated in no table and no sentence",FALSE,"ideology or values","policy demander interest",FALSE,"","insurgent",0,"false","false","",FALSE
"FL-19R","FL","19","R","Clawson","Self-finance","none or unclassified","left over: stated in no table and no sentence",FALSE,"ideology or values","policy demander interest",FALSE,"","insurgent",0,"false","false","",FALSE
"MI-8R","MI","8","R","Bishop","IPO","coordination","coordination, from table 5.2",TRUE,"ideology or values","policy demander interest",TRUE,"informal party organization","establishment (business-backed)",123500,"true","true","",FALSE
"MN-6R","MN","6","R","Emmer","Party convention","coordination","coordination, from table 5.2",TRUE,"ideology or values","policy demander interest",TRUE,"party convention","establishment (party-backed)",39700,"true","true","",FALSE
"UT-4R","UT","4","R","Love","Party convention","coordination","coordination, from table 5.2",TRUE,"ideology or values","policy demander interest",TRUE,"party convention","establishment (party-backed)",62500,"true","true","",FALSE
"NJ-12D","NJ","12","D","Coleman","County committees/PCCC","coordination","coordination, from table 5.2",TRUE,"ideology or values","policy demander interest",TRUE,"local party",NA,NA,"true","true","",FALSE
"LA-5R","LA","5","R","McAlister","Self-finance","none or unclassified","left over: stated in no table and no sentence",FALSE,"motive unclear","unclear",TRUE,"informal party organization",NA,NA,"false","false","",FALSE
"VA-8D","VA","8","D","Beyer","Party donors","none or unclassified","left over: stated in no table and no sentence",FALSE,"motive unclear","unclear",FALSE,"",NA,NA,"false","false","",FALSE
