name,former_government_position
ANNE CANFIELD,"Legislative Aide, ID; Legislative Aide, AR, Legislative Aide, PA-8"
MORGAN FOX,
JOHN MURDOCH,
GREGORY BENNETT,
CINDY MANN,
RICHARD KAELIN,"Former Chief of Staff, U.S. House of Representatives"
CAITLIN BERRETTA,
DAVID BRADLEY,
CATHERINE CHASE,President
TARA GILL,Sr. Director State and Federal Government Relations
MICHAEL ALEXANDER,
JOHN BOROVICKA,
CELESTE BOYKIN,
GREGG HARPER,Former Member of the U.S. House of Representatives
BRETT BAILEY,"Government Affairs Advisor, Watkins & Eager"
ELIAS GERASOULIS,
ERIC ZIMMERMAN,
PRIYA RATHAKRISHNAN,
ROBERT VAN HEUVELEN,"Former Chief of Staff, Senator Kent Conrad (D-ND)"
PATRICK LAUGHLIN,
SAMUEL YNTEMA,
JOSEPH DAGHER,
VALERIE WEST,"Natural Resources Director to Senator Gordon Smith; Professional Staff to the House Natural Resources Committee; Deputy Director of Cong. Affairs, Bureau of Reclamation"
DEANNA ARCHULETA,"Deputy Assistant Secretary, Water and Science, Department of the Interior Senior Advisor to the Secretary of the Interior, Department of the Interior"
CHRISTOPHER CONDELUCI,
JACOB PARKER,Legislative Director - Rep. Tom Latham
TERRENCE HEUBERT,
GABRIELLE SMITH,
TOM MCDONALD,
MARK DEDRICK,"Staff Assistant, LD Rep. Darlene Hooley 1997; 2002-2006; Staff Assistant, LA Rep. Tony Hall 1998-2001; LA Rep. Rush Holt 2001-2002"
JEFFREY TURCOTTE,"Assistant Vice President, Government Affairs"
TODD SNITCHLER,President & CEO
THOMAS GOODWIN,
BRETT O'BRIEN,
KERRY O'BRIEN,
ADAM GOLDSTEIN,
MEREDITH CHECK,
ANN CARMICHAEL HARTER,"White House Office of Presidential Correspondence 2004-2005, White House Office of Legislative Affairs 2005-2006, Department of Labor Office of Congressional and Intergovernmental Affairs 2006-2009"
CECILIA WINSLOW,
MICHAEL GRIMES,paid internship for Congressman Tim Ryan 2011
RYAN BERNSTEIN,
SHAUN TAYLOR,Deputy Chief of Staff to Rep. Pat Fallon (R-TX)
MOLLY HYLAND,"Senior vice president, government relations"
ARIEL GONZALEZ,
JOE TRAUGER,"LA Senator Rod Grams 1996-2000, LA Congressman Sam Johnson 2001, Policy Advisor Dick Armey 2002, Sr. Pol. Adv. Whip Roy Blunt 2003-2005"
MARK BURNHAM,
PATRICK RITA,
PETE KIRKHAM,"Chief of staff, U.S. Rep. Tom Cole (R-OK)"
PETER CHANDLER,
CARL HOLSHOUSER,
EBBIE YAZDANI,
MEGHAN PEARCE,
MEGHAN DORN,
RAY CULVER,
MARK DANN,Director of Governmental Affairs
RAY ANDERSON,
JASON CRAIG,
JOHN WILLIAMS,"Press Secretary, House Committee on Government Reform and Oversight; Press Secretary, Rep. Dan Burton."
ANDREW COATS,"Legislative Assistant, Rep. Mark Souder."
ABIGAIL KAERICHER,
GEORGE LAWS GARCIA,
MARTIN RIVERA,
MICHAEL CLAUSER,"- Nat'l Security Leg. Assistant, US House of Representatives (Mar 09-Dec 10); -Special Assistant, Office of the Under Secretary of the Navy, (Aug 08-Mar 09); -Special Assistant, Office of the Asst Sec of Def for Leg. Affairs, (Sept 07-Aug 08)"
MARK MURRAY,"Professional Staff, House Committee"
CAROLINE LYNCH,"Chief Counsel, Subcommittee on Crime, Terrorism, and Homeland Security, House Judiciary Committee"
ROMANO ROMANI,
STEVE SYMMS,
TERRY PEEL,Professional Staff House Committee
TERRI LAKOWSKI,
JASON MARMON,
MEREDITH SCHWARTZ,
CORY HARRIS,"Legislative Director, Rep. Jim Baird"
ADRIAN JEWETT,
MAEVE HAWK,
CHRISTOPHER CAUSEY,Chief of Staff; Congressman Marion Berry (AR-01) 2006-2010. Legislative Director; Congressman Marion Berry (AR-01) 2003-2006. Legislative Assistant; Congressman Marion Berry (AR-01) 2002-2003.
MELODY FENNEL,"Assistant Secretary, HUD"
K LEVINSON,
CHRISTIAN SHALGIAN,
PATRICK BAILEY,
MATTHEW COFFRON,
CARRIE ZLATOS,
AMELIA SUERMANN,
EMMA ZIMMERMAN,
MATTHEW BROWN,
COURTNEY LISOWSKI,
MONA MOHIB,
ROBERT GABBERT,
CHRISTIAN SHALGIAN,
PATRICK BAILEY,
MATTHEW COFFRON,
CARRIE ZLATOS,
AMELIA SUERMANN,
EMMA ZIMMERMAN,
MATTHEW BROWN,
COURTNEY EUBANKS LISOWSKI,
LEIGH DAVITIAN,
BRADLEY KILE,
JAMES LAI,"Staff Assistant, Senate Energy and Natural Resources Committee"
THOMAS HYLAND,
CAROLINE SEVIER,
MATTHEW MCGINN,
THOMAS DOWNS,
FRANCISCO CHANG,
WILLIAM CONNOR,
AUSTIN JACKSON,
NORBERTO SALINAS,"Senior Counsel, House Committee on the Judiciary"
GREGORY FACCHIANO,
PATRICK RUSSO,
RICHARD DIZINNO,"Vice President - Strategy, Policy & Government Affairs"
PAUL KELLY,
ELLEN FERN,
