"state","year","url","fetched_on","format","rows","certified","notes"
"Colorado","2024","https://co.elstats.civera.com/api/download_contest/26499_table.csv?split_party=false","2026-08-12","csv","64","yes","SoS historical elections database (historicalelectiondata.coloradosos.gov), contest 26499, county rows only. total_votes = the file's own 'Total Votes Cast'. Built from the Abstract of Votes Cast."
"Connecticut","2020","https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2020-sov.pdf","2026-08-12","pdf","8","yes","Secretary of the State's certified Statement of Vote, 'Election Results for Presidential Electors ... Summarized by County', parsed from the PDF. Reported at the level Connecticut published for this year: EIGHT traditional counties. Connecticut's county-equivalents for statistical purposes became nine planning regions in 2022, but SOTS did not adopt them for the Statement of Vote -- the 2024 document summarises by the same eight counties as 2020 -- so no crosswalk is applied in either year. total_votes sums the ballot-line block and every write-in block. Note the SOTS machine-readable export (electionhistory.ct.gov) publishes no county level at all, only towns and polling places. DISCREPANCY INSIDE THE STATE'S OWN PUBLICATIONS: the county table sums to D=1080831 R=715311, while the SOTS town-level export for the same contest sums to D=1080831 R=714717 over 169 towns (difference D+0 R+594). Published here as the county table prints it."
"Connecticut","2024","https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf","2026-08-12","pdf","8","yes","Secretary of the State's certified Statement of Vote, 'Election Results for Presidential Electors ... Summarized by County', parsed from the PDF. Reported at the level Connecticut published for this year: EIGHT traditional counties. Connecticut's county-equivalents for statistical purposes became nine planning regions in 2022, but SOTS did not adopt them for the Statement of Vote -- the 2024 document summarises by the same eight counties as 2020 -- so no crosswalk is applied in either year. total_votes sums the ballot-line block and every write-in block. Note the SOTS machine-readable export (electionhistory.ct.gov) publishes no county level at all, only towns and polling places. DISCREPANCY INSIDE THE STATE'S OWN PUBLICATIONS: the county table sums to D=992197 R=737024, while the SOTS town-level export for the same contest sums to D=992053 R=736918 over 169 towns (difference D+144 R+106). Published here as the county table prints it."
"Delaware","2020","https://elections.delaware.gov/reports/GE2020.html (linked ""Full Report"" from https://elections.delaware.gov/elections/election_archive.html)","2026-08-12","html","3","yes","Delaware Department of Elections official General Election full report. The report carries a county-column table (New Castle / Kent / Sussex / State) for President and Vice President; those columns are the three rows here. Delaware published 2020 presidential write-ins STATEWIDE ONLY (336 votes, GE2020 Official Write-In Votes-Statewide.pdf), never by county, so total_votes here excludes them and the state sum is 504,010 rather than the certified 504,346 -- short by 336 votes (0.067%)."
"Delaware","2024","https://elections.delaware.gov/reports/GE2024.html (linked ""Full Report"" from https://elections.delaware.gov/elections/election_archive.html)","2026-08-12","html","3","yes","Delaware Department of Elections official General Election full report. The report carries a county-column table (New Castle / Kent / Sussex / State) for President and Vice President; those columns are the three rows here. total_votes includes the county write-in totals from the official Write-In Tally Sheet (New Castle 942, Kent 148, Sussex 125). Write-in PDF: https://elections.delaware.gov/elections/resultsarchive/elect24/elect24_general/GE2024_Official_WriteInVotes_Statewide.pdf"
"District of Columbia","2020","https://electionresults.dcboe.org/Downloads/Reports/November_3_2020_General_Election_Certified_Results.csv","2026-08-12","csv","8","yes","DC Board of Elections *Certified Results* extract, one row per precinct x contest x candidate. Rows are aggregated to the eight WARDS. WARDS ARE NOT COUNTIES and have no Census FIPS, so county_fips is empty (spec rule 5). Summing the eight rows gives the citywide certified total (2020: Biden 317,323 / Trump 18,586 / 344,356; 2024: Harris 294,185 / Trump 21,076 / 325,869), which is the Census county-equivalent 11001. DEPARTURE FROM THE SPEC: the spec says DC ""was one citywide row in 2020"". It was not -- the DCBOE certified report for 2020 (November_3_2020_General_Election_Certified_Results.pdf) is laid out with one column per ward exactly like 2024, and the CSV carries WardNumber for both years. Both years are therefore reported at ward level. total_votes = all listed candidates plus the Write-in line; the 2024 files UNDER VOTES and OVER VOTES rows are excluded."
"District of Columbia","2024","https://electionresults.dcboe.org/Downloads/Reports/November_5_2024_General_Election_Certified_Results.csv","2026-08-12","csv","8","yes","DC Board of Elections *Certified Results* extract, one row per precinct x contest x candidate. Rows are aggregated to the eight WARDS. WARDS ARE NOT COUNTIES and have no Census FIPS, so county_fips is empty (spec rule 5). Summing the eight rows gives the citywide certified total (2020: Biden 317,323 / Trump 18,586 / 344,356; 2024: Harris 294,185 / Trump 21,076 / 325,869), which is the Census county-equivalent 11001. DEPARTURE FROM THE SPEC: the spec says DC ""was one citywide row in 2020"". It was not -- the DCBOE certified report for 2020 (November_3_2020_General_Election_Certified_Results.pdf) is laid out with one column per ward exactly like 2024, and the CSV carries WardNumber for both years. Both years are therefore reported at ward level. total_votes = all listed candidates plus the Write-in line; the 2024 files UNDER VOTES and OVER VOTES rows are excluded."
"Florida","2020","https://results.elections.myflorida.com/ResultsExtract.Asp (POST ElectionDate=11/3/2020, OfficialResults=Y) from https://results.elections.myflorida.com/downloadresults.asp?ElectionDate=11/3/2020","2026-08-12","txt","67","yes","Tab-delimited extract from the Division of Elections ""Data Download Utility"" with OfficialResults=Y (the certified county canvass). Rows filtered to RaceCode=PRE and summed by county. total_votes = all presidential candidates including every certified write-in candidate. County names are the states own; "" County"" appended to match Census naming."
"Florida","2024","https://results.elections.myflorida.com/ResultsExtract.Asp (POST ElectionDate=11/5/2024, OfficialResults=Y) from https://results.elections.myflorida.com/downloadresults.asp?ElectionDate=11/5/2024","2026-08-12","txt","67","yes","Tab-delimited extract from the Division of Elections ""Data Download Utility"" with OfficialResults=Y (the certified county canvass). Rows filtered to RaceCode=PRE and summed by county. total_votes = all presidential candidates including every certified write-in candidate. County names are the states own; "" County"" appended to match Census naming."
"Georgia","2020","https://sos.ga.gov/sites/default/files/2026-04/november_3_2020_-_general_election_recount.zip (linked from https://sos.ga.gov/page/historical-elections-results)","2026-08-12","xml","159","yes","Georgia Secretary of State historical-elections archive, ""November 3, 2020 - General Election Recount"" ZIP -- the machine recount on which the December 7 2020 re-certification rests. Reused from the corpus copy at labs/ga-precinct-returns/data (ga2020rc_counties.csv, parsed by that chapters parse-ga-sos.py from the per-county summary files). Statewide sums reproduce the certified Biden 2,473,633 / Trump 2,461,854 / Jorgensen 62,229 / total 4,997,716 exactly. The un-recounted ""November 3, 2020 - General Election"" ZIP in the same archive gives Biden 2,474,507 / Trump 2,461,837 and was NOT used. SoS files sit behind Cloudflare and need a browser to download."
"Georgia","2024","https://results.sos.ga.gov/cdn/results/Georgia/export-2024NovGen.json","2026-08-12","json","159","yes","Georgia SoS results platform export (createdAt 2025-01-30, well after the 2024-11-19 certification). Reused from the corpus copy at labs/ga-precinct-returns/data/export-2024NovGen.json. County totals taken from localResults[].ballotItems (county-level voteCount), not summed from precincts -- the precinct sums fall 7-11 votes short. County sums reproduce the statewide roll-up Trump 2,663,117 / Harris 2,548,017 exactly. Claudia De la Cruz (13) and Cornel West (6) appear only in county data, not in the statewide roll-up; they are included in total_votes."
"Hawaii","2020","https://files.hawaii.gov/elections/files/results/2020/general/ (cch.pdf, coh.pdf, cok.pdf, com.pdf); statewide check summary.txt","2026-08-12","pdf","4","yes","Hawaii Office of Elections per-county FINAL SUMMARY REPORT PDFs, one per county. Only FOUR counties report: Kalawao County (Census FIPS 15005) has no separate election return -- it is administered and reported inside Maui County -- so this file has 4 rows, not the 5 Census counties. The six presidential tickets were read from the ""President and Vice President"" block of each PDF (the reports multi-column layout means the block is identified by taking the first six column-1 candidate lines after the header). total_votes excludes the reports separate Blank Votes and Over Votes lines; Hawaii reports no presidential write-in line. County sums reproduce the states own statewide summary.txt exactly (2020: Biden 366,130 / Trump 196,864 / 574,469; 2024: Harris 313,044 / Trump 193,661 / 516,701)."
"Hawaii","2024","https://files.hawaii.gov/elections/files/results/2024/General/ (cch.pdf, coh.pdf, cok.pdf, com.pdf); statewide check summary.txt","2026-08-12","pdf","4","yes","Hawaii Office of Elections per-county FINAL SUMMARY REPORT PDFs, one per county. Only FOUR counties report: Kalawao County (Census FIPS 15005) has no separate election return -- it is administered and reported inside Maui County -- so this file has 4 rows, not the 5 Census counties. The six presidential tickets were read from the ""President and Vice President"" block of each PDF (the reports multi-column layout means the block is identified by taking the first six column-1 candidate lines after the header). total_votes excludes the reports separate Blank Votes and Over Votes lines; Hawaii reports no presidential write-in line. County sums reproduce the states own statewide summary.txt exactly (2020: Biden 366,130 / Trump 196,864 / 574,469; 2024: Harris 313,044 / Trump 193,661 / 516,701)."
"Idaho","2020","https://archive.sos.idaho.gov/elections/data/results/2020/2020_General_Canvass.zip -> 2020_General_Canvass/20Gen_stwd_cnty.xlsx (linked from https://voteidaho.gov/election-results/)","2026-08-12","xlsx","44","yes","Official 2020 General Canvass issued by the Secretary of State. The ""Federal"" sheet is a county x candidate matrix; the seven columns under the merged ""UNITED STATES PRESIDENT"" header (Biden DEM, Blankenship CON, De La Fuente IND, Jorgensen LIB, Pierce IND, Trump REP, West IND) were summed for total_votes. Idaho reports no write-in line for president; the states own percentage column uses the same 867,281 denominator. County sums reproduce the canvass TOTAL row (Biden 287,021 / Trump 554,119) exactly. Now served from archive.sos.idaho.gov, the states own archive."
"Idaho","2024","https://archive.sos.idaho.gov/elections/data/results/2024/raw_races_general.xlsx (linked from https://voteidaho.gov/election-results/)","2026-08-12","xlsx","44","yes","Secretary of State ""raw races"" export for the 2024 general: one row per county x precinct x candidate. Filtered to Race=""United States President"", Overvotes/Undervotes rows dropped, precincts summed to county. total_votes includes the two certified write-in candidates (Peter Sonski 242, Brian Larry Kienitz 3). Statewide sums Trump 605,246 / Harris 274,972 / total 905,057."
"Illinois","2020","https://www.elections.il.gov/Downloads/ElectionOperations/ElectionResults/ByOffice/58/58-120-PRESIDENT%20AND%20VICE%20PRESIDENT-2020GE.csv","2026-08-12","csv","102","yes","Illinois SBE Election Vote Totals download (elections.il.gov/ElectionOperations/ElectionVoteTotals.aspx, 2020 GENERAL ELECTION = electionID 58). File is precinct-level; aggregated to county. Illinois reports through 108 election jurisdictions: 102 counties plus 6 municipal boards (Chicago, Bloomington, Danville, East St. Louis, Galesburg, Rockford). Each city board row carries JurisContainerID pointing at its county, and city votes were folded into that county using the state's own container ID. Statewide sum reproduces the SBE official totals exactly (Biden 3,471,915; Trump 2,446,891; total 6,049,441)."
"Illinois","2024","https://www.elections.il.gov/Downloads/ElectionOperations/ElectionResults/ByOffice/66/66-120-PRESIDENT%20AND%20VICE%20PRESIDENT-2024GE.csv","2026-08-12","csv","102","yes","Same SBE download, 2024 GENERAL ELECTION = electionID 66. Precinct-level, aggregated to county; 6 municipal boards folded into their counties via the state's JurisContainerID. Rows with EISCandidateID=0 (Over Votes, Under Votes, Blank Ballots) excluded from total_votes. Dem and GOP match AP exactly; total_votes is 57,411 higher than AP because it includes all minor-party and write-in votes the state certifies."
"Indiana","2020","https://enr.indianavoters.in.gov/archive/2020General/data/OffCatC_1019_A.json","2026-08-12","json","92","yes","Data file behind the Election Division's archived 2020 General ENR site (enr.indianavoters.in.gov/archive/2020General/index.html), office category 1019 = Presidential Electors for US President & VP. County totals read from each Region's Races.Race node (TOTAL_VOTES); the Region's RegionSummary node repeats the STATEWIDE total in the 2020 file and must not be used. MAP_FIPS in the file is already the 5-digit Census county FIPS. Write-in tickets (NAME_ON_BALLOT ends '(W/I)') are in total_votes but excluded from votes_dem/votes_gop. County sums reproduce Indiana's certified statewide totals (Biden 1,242,416 / Trump 1,729,519 / 3,033,121)."
"Indiana","2024","https://enr.indianavoters.in.gov/archive/2024General/data/OffCatC_1019_A.json","2026-08-12","json","92","yes","Same ENR archive for the 2024 General. Note the 2024 file's RegionSummary is county-level while the 2020 file's is statewide; both were read from Races.Race for consistency. Dem and GOP match AP exactly; total_votes is 2,977 higher than AP because it includes the certified write-in tickets (Sonski, De la Cruz, West and others)."
"Iowa","2020","https://sos.iowa.gov/elections/pdf/2020/general/canvsummary.pdf","2026-08-12","pdf","99","yes","SoS Election Canvass Summary, 'President and Vice President' section, county 'Total' rows (each county also prints Election Day and Absentee rows, which are not used). Canvass date printed on the document. total_votes = every candidate column including Write-in, and EXCLUDES Under Votes and Over Votes; verified equal to the sheet's own Total column minus those two. Iowa printed the Republican column first in 2020 and the Democratic column first in 2024, so columns are matched to the DEM/REP header labels by x-coordinate rather than by position. sos.iowa.gov is behind a Cloudflare TLS-fingerprint challenge that 403s urllib and ordinary curl; fetched with a browser-identical TLS handshake (curl_cffi)."
"Iowa","2024","https://sos.iowa.gov/elections/pdf/2024/general/canvsummary.pdf","2026-08-12","pdf","99","yes","SoS Election Canvass Summary, 'President and Vice President' section, county 'Total' rows (each county also prints Election Day and Absentee rows, which are not used). Canvass date printed on the document. total_votes = every candidate column including Write-in, and EXCLUDES Under Votes and Over Votes; verified equal to the sheet's own Total column minus those two. Iowa printed the Republican column first in 2020 and the Democratic column first in 2024, so columns are matched to the DEM/REP header labels by x-coordinate rather than by position. sos.iowa.gov is behind a Cloudflare TLS-fingerprint challenge that 403s urllib and ordinary curl; fetched with a browser-identical TLS handshake (curl_cffi)."
"Kansas","2020","https://sos.ks.gov/elections/20elec/2020_General_Election_President_results_by_precinct.xlsx","2026-08-12","xlsx","105","yes","Kansas SoS 'Official Precinct Level Results' workbook for President. The first sheet covers only 101 counties; Johnson, Sedgwick, Shawnee and Wyandotte are on four separate sheets, each in a different county-supplied layout (candidate names in row 3 or 4, one column per ticket), parsed individually and county-total rows skipped. Sedgwick and Wyandotte carry a 'Write-in Totals' column (1,460 votes combined); those were EXCLUDED so the file reproduces the SoS's own certified statewide total, which lists only the three ballot-qualified tickets (Trump 771,406 / Biden 570,323 / Jorgensen 30,574 = 1,372,303, per 2020_General_Official_Vote_Totals.pdf). County sums reproduce that exactly. Kansas has no complete county-level 2020 presidential file other than this workbook."
"Kansas","2024","https://sos.ks.gov/elections/24elec/2024-Presidential-Results.xlsx","2026-08-12","xlsx","105","yes","Kansas SoS '2024 Presidential Election Results Data' workbook, precinct rows with a County column covering all 105 counties; summed to county. Statewide sum matches the AP crosscheck exactly on all three columns (544,853 D / 758,802 R / 1,327,591 total). No write-in line is reported for president."
"Kentucky","2020","https://elect.ky.gov/results/2020-2029/Documents/2020%20General%20Election%20Results.pdf","2026-08-12","pdf","120","yes","State Board of Elections official results PDF, 'President and Vice President of the United States' table (pages 2 onward, Adair..Woodford), parsed from the PDF. Headed 'Official 2020 General Election Results'. Column headers are rotated in the PDF and do not survive text extraction, so columns are taken by position -- Kentucky prints Republican first, Democratic second -- and that ordering is checked against Jefferson County and the statewide totals rather than assumed. total_votes sums every column on the row, including minor parties and each write-in column."
"Kentucky","2024","https://elect.ky.gov/results/2020-2029/Documents/2024%20General%20Election%20Certification%20as%20Amended%20on%20December%209th%202024.pdf","2026-08-12","pdf","120","yes","State Board of Elections official results PDF, 'President and Vice President of the United States' table (pages 2 onward, Adair..Woodford), parsed from the PDF. The 2024 document is the certification as amended on December 9th, 2024. Column headers are rotated in the PDF and do not survive text extraction, so columns are taken by position -- Kentucky prints Republican first, Democratic second -- and that ordering is checked against Jefferson County and the statewide totals rather than assumed. total_votes sums every column on the row, including minor parties and each write-in column."
"Louisiana","2020","https://voterportal.sos.la.gov/ElectionResults/ElectionResults/Data?blob=20201103/csv/ByParish_59568.csv","2026-08-12","csv","64","yes","SoS voter portal per-race parish export, race 59568 ('Presidential Electors'). Louisiana's county-equivalents are parishes; they carry ordinary Census FIPS (22xxx) and are used as counties here, named as the state names them. Party is read from the column header suffix (DEM)/(REP), not a separate field. total_votes sums every candidate column."
"Louisiana","2024","https://voterportal.sos.la.gov/ElectionResults/ElectionResults/Data?blob=20241105/csv/ByParish_67190.csv","2026-08-12","csv","64","yes","SoS voter portal per-race parish export, race 67190 ('Presidential Electors'). Louisiana's county-equivalents are parishes; they carry ordinary Census FIPS (22xxx) and are used as counties here, named as the state names them. Party is read from the column header suffix (DEM)/(REP), not a separate field. total_votes sums every candidate column."
"Maine","2020","https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/presandvisecnty1120.xlsx","2026-08-12","xlsx","17","unknown","SoS 'U.S. President by County/Town' workbook. Maine reports by municipality, but the workbook itself carries county subtotal rows ('AND Total'...'YOR Total') keyed to the SoS's own three-letter county codes -- those rows are what is used here, so no town-to-county crosswalk is applied. total_votes = every presidential candidate column including Others/write-ins, and EXCLUDES the Blank column; verified equal to the sheet's TBC (Total Ballots Cast) minus Blank. Military/overseas ballots are published by Maine as a single statewide 'STATE UOCAVA' row belonging to no county; it is kept with an empty county_fips, so this file has 17 rows for 16 counties. The 2020 results page carries no 'official'/'certified' wording (unlike the 2020 primary files, which are marked OFFICIAL), so certification is recorded as unknown."
"Maine","2024","https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/President%20and%20Vice%20President%20FINAL-Corrected%2020241205.xlsx","2026-08-12","xlsx","17","yes","SoS 'U.S. President by County/Town' workbook. Maine reports by municipality, but the workbook itself carries county subtotal rows ('AND Total'...'YOR Total') keyed to the SoS's own three-letter county codes -- those rows are what is used here, so no town-to-county crosswalk is applied. total_votes = every presidential candidate column including Others/write-ins, and EXCLUDES the Blank column; verified equal to the sheet's TBC (Total Ballots Cast) minus Blank. Military/overseas ballots are published by Maine as a single statewide 'STATE UOCAVA' row belonging to no county; it is kept with an empty county_fips, so this file has 17 rows for 16 counties. 2024 file is the SoS's FINAL-Corrected version dated 2024-12-05, after the canvass."
"Maryland","2020","https://elections.maryland.gov/elections/archive/2020/election_data/All_By_Precinct_2020_General.csv","2026-08-12","csv","24","yes","SBE 'Data files for the 2020 General Election' (elections.maryland.gov/elections/archive/2020/election_data/index.html), statewide precinct file; rows filtered to Office Name = 'President - Vice Pres' and summed by county using the 'Total Votes' column. Maryland's two-digit county codes were resolved to names from the SBE's own by-county results index: 03 is Baltimore City and 04 is Baltimore County (not the alphabetical order one would guess). total_votes includes all certified write-in candidates; votes_dem/votes_gop count only the ballot-listed Biden and Trump lines, not same-name write-ins. Statewide sum 1,985,023 D / 976,414 R matches SBE's certified totals."
"Maryland","2024","https://elections.maryland.gov/elections/archive/2024/election_data/PG24_AllPrecincts.csv","2026-08-12","csv","24","yes","SBE 2024 'Data files' statewide precinct file. 2024 file has no total column, so total_votes = Early + Election Night + Mail-In Ballot 1 + Provisional + Mail-In Ballot 2. A certified DEM write-in named 'Sharon E Harris' exists and was deliberately excluded from votes_dem (Write-In? = Y). Dem and GOP match AP exactly; total_votes is 22,684 higher than AP because it includes all certified write-ins and minor candidates."
"Massachusetts","2020","https://electionstats.state.ma.us/elections/view/140751/filter_by_county:<County>/","2026-08-12","html","14","yes","Secretary of the Commonwealth, electionstats (the SoC's Public Document 43 successor), election 140751, one page per county; the 'County Totals' row of each county view. Massachusetts publishes its downloadable CSVs only by municipality and precinct, so the county figures are taken from the Commonwealth's own county totals rather than by aggregating towns. The site's 'Total Votes Cast' column includes blank ballots; total_votes here is that figure minus Blanks, i.e. votes actually cast for president, including every minor candidate and All Others."
"Massachusetts","2024","https://electionstats.state.ma.us/elections/view/165300/filter_by_county:<County>/","2026-08-12","html","14","yes","Secretary of the Commonwealth, electionstats (the SoC's Public Document 43 successor), election 165300, one page per county; the 'County Totals' row of each county view. Massachusetts publishes its downloadable CSVs only by municipality and precinct, so the county figures are taken from the Commonwealth's own county totals rather than by aggregating towns. The site's 'Total Votes Cast' column includes blank ballots; total_votes here is that figure minus Blanks, i.e. votes actually cast for president, including every minor candidate and All Others."
"Michigan","2020","https://mvic.sos.state.mi.us/VoteHistory/GetElectionResultFile?electionId=683","2026-08-12","txt/tsv","83","yes","Bureau of Elections county canvass export (CENR by county) from the Michigan Voter Information Center, election id 683; rows whose OfficeDescription is the presidential contest, summed to county. total_votes counts every candidate row including write-ins. The host is behind a Cloudflare JS challenge that 403s scripted requests under every header set tried, so this file was retrieved through a browser session on mvic.sos.state.mi.us rather than by curl; the old mielections.us / miboecfr.nictusa.com file host is dead. Results certified by the Board of State Canvassers. Michigan writes Grand Traverse County as 'Gd. Traverse'; county_name keeps the state's spelling and county_fips is the Census code."
"Michigan","2024","https://mvic.sos.state.mi.us/VoteHistory/GetElectionResultFile?electionId=699","2026-08-12","txt/tsv","83","yes","Bureau of Elections county canvass export (CENR by county) from the Michigan Voter Information Center, election id 699; rows whose OfficeDescription is the presidential contest, summed to county. total_votes counts every candidate row including write-ins. The host is behind a Cloudflare JS challenge that 403s scripted requests under every header set tried, so this file was retrieved through a browser session on mvic.sos.state.mi.us rather than by curl; the old mielections.us / miboecfr.nictusa.com file host is dead. Results certified by the Board of State Canvassers. Michigan writes Grand Traverse County as 'Gd. Traverse'; county_name keeps the state's spelling and county_fips is the Census code."
"Minnesota","2020","https://electionresultsfiles.sos.mn.gov/20201103/USPresCty.txt","2026-08-12","txt","87","yes","SoS media-file host, semicolon-delimited county file USPresCty.txt for the office 'U.S. President & Vice President'. DFL is the Democratic party in Minnesota. total_votes is the file's own per-county office total, verified equal to the sum of every candidate row. County named from the SoS Cntytbl.txt lookup; the file's county id is an SoS sequence number, not a FIPS code."
"Minnesota","2024","https://electionresultsfiles.sos.mn.gov/20241105/USPresCty.txt","2026-08-12","txt","87","yes","SoS media-file host, semicolon-delimited county file USPresCty.txt for the office 'U.S. President & Vice President'. DFL is the Democratic party in Minnesota. total_votes is the file's own per-county office total, verified equal to the sum of every candidate row. County named from the SoS Cntytbl.txt lookup; the file's county id is an SoS sequence number, not a FIPS code."
