"name","rank","count","pctwhite","pctblack","pctapi","pctaian","pct2prace","pcthispanic"
"KIM",71,274068,2.45596,0.332764,93.8369,0.0153247,2.45487,0.904155
"COOPER",72,271453,65.2378,25.3727,0.621839,0.715041,4.59122,3.46137
"BAILEY",73,269092,69.4008,21.6751,0.640301,0.574153,4.45535,3.25428
"RAMOS",74,268640,6.58651,1.12641,5.34544,0.251638,0.787671,85.9023
"REED",75,268584,68.5439,21.8818,0.670926,0.951658,4.69053,3.26118
"BELL",76,267025,58.893,31.4019,0.655369,0.897669,4.7269,3.42515
"PETERSON",77,265150,81.9276,9.67792,0.845936,0.707524,3.4852,3.35584
"DOE",78,262774,52.713,21.2818,5.06633,0.694894,1.81867,18.4253
"WARD",79,255767,72.5082,18.1489,0.638081,0.831616,4.41378,3.4594
"KELLY",80,255516,75.636,15.7646,0.763944,0.511514,3.60838,3.71562
"HOWARD",81,253434,61.7021,28.8036,0.614361,0.82191,4.6955,3.36261
"COX",82,249872,79.4459,11.76,0.62512,0.652334,4.13292,3.38373
"RICHARDSON",83,249840,57.4608,32.4844,0.6244,0.977025,4.80107,3.65234
"CHAVEZ",84,244201,5.48524,0.291563,0.795656,0.991806,0.369368,92.0664
"BROOKS",85,244116,57.7447,32.5386,0.592751,0.737764,4.95256,3.43361
"JAMES",86,243502,48.4111,38.3447,1.79834,2.36672,4.84226,4.23693
"WATSON",87,242956,63.2567,27.1457,0.688602,0.796029,4.62676,3.48623
"MENDOZA",88,242772,4.6348,0.415616,5.52453,0.277627,0.576261,88.5712
"GRAY",89,241208,65.9311,24.5523,0.690276,0.834549,4.55831,3.43355
"BENNETT",90,239397,73.3485,17.3737,0.692156,0.82666,4.27365,3.48542
"WOOD",91,238948,85.596,5.23294,0.830306,0.758324,4.12977,3.45263
"RUIZ",92,237286,5.48073,0.550812,1.1602,0.248645,0.388561,92.1711
"CHEN",93,233798,2.06546,0.448678,95.4354,0.00983755,1.45981,0.580843
"CASTILLO",94,231347,5.16886,0.839432,3.41392,0.575326,0.59132,89.4111
"ALVAREZ",95,229446,5.43004,0.707356,1.41079,0.386583,0.347358,91.7179
"HUGHES",96,226912,75.5068,15.7634,0.661049,0.50372,4.13112,3.43393
"PRICE",97,225734,71.0779,19.9469,0.645893,0.639248,4.48803,3.202
"JIMENEZ",98,225722,4.24903,0.421758,1.63918,0.242333,0.353089,93.0946
"ROSS",99,224952,66.0096,23.9909,0.753939,0.841513,4.55208,3.85193
"LONG",100,223485,76.6168,11.7994,3.04539,1.25601,4.11884,3.16352
"TRAN",101,223440,1.49391,0.197368,95.3562,0.02372,1.971,0.957752
"SANDERS",102,221987,58.0399,32.1771,0.555438,0.772117,4.86515,3.5903
"MYERS",103,220983,81.4723,10.3135,0.657969,0.490083,3.94917,3.11698
"FOSTER",104,218824,67.0013,23.1789,0.7193,0.807498,4.61375,3.67921
"POWELL",105,216911,64.2374,26.7455,0.616843,0.580883,4.5816,3.23773
"JENKINS",106,213644,55.6847,35.584,0.524705,0.556533,4.66102,2.98908
"SULLIVAN",107,212701,85.103,6.94402,0.700984,0.516218,3.30041,3.43534
"RUSSELL",108,211729,73.9407,16.5348,0.67917,0.967747,4.39807,3.47945
"PERRY",109,211657,65.5754,24.5312,0.733734,0.772949,4.5706,3.81608
"COLEMAN",110,211259,47.6439,43.1087,0.511221,0.461992,5.01564,3.25856
"HENDERSON",111,210128,57.3075,32.9447,0.586785,0.795705,4.848,3.51738
"BUTLER",112,208167,60.2531,30.439,0.631224,0.779182,4.51753,3.37998
"ROMERO",113,208066,8.55402,0.549345,1.52404,0.737747,0.575779,88.0591
"GONZALES",114,207620,9.96291,1.04325,4.59686,0.839514,0.92862,82.6288
"FISHER",115,206799,80.0695,11.2854,0.674568,0.702131,3.94248,3.32593
"BARNES",116,206431,61.7606,28.9099,0.626844,0.729057,4.63545,3.33816
"VASQUEZ",117,201992,5.45863,0.623787,0.8936,0.340608,0.347043,92.3363
"JORDAN",118,200984,58.4803,30.2487,0.6707,0.707021,4.60932,5.284
"SIMMONS",119,199853,55.4953,35.2029,0.612951,0.577925,4.80103,3.30993
"ALEXANDER",120,197734,55.1913,33.3493,1.55006,0.690321,4.9516,4.26735
"PATTERSON",121,197137,64.5465,26.1519,0.606685,0.608206,4.55064,3.53612
"HAMILTON",122,194450,67.4621,23.1859,0.682438,0.70198,4.44022,3.52738
"GRAHAM",123,194159,67.2088,23.5657,0.642257,0.680885,4.31605,3.58624
"MORENO",124,192910,6.39262,0.557773,0.866207,0.403297,0.39604,91.3841
"REYNOLDS",125,191703,77.9101,12.9377,0.676567,0.644226,4.29884,3.53255
"GRIFFIN",126,191130,61.2955,29.9466,0.600115,0.455711,4.50845,3.19364
"WEST",127,189360,72.4836,17.8369,0.636882,0.783164,4.67153,3.58787
"WALLACE",128,189325,66.4936,24.0222,0.67503,0.671861,4.49703,3.6403
"COLE",129,187989,71.742,19.0479,0.704297,0.678763,4.48962,3.33743
"CASTRO",130,187649,7.2124,0.741278,4.22917,0.256863,0.751936,86.8083
"HERRERA",131,186848,5.25614,0.39872,1.13247,0.583897,0.38427,92.2445
"MEDINA",132,186456,5.94242,0.714378,2.12168,0.321792,0.533638,90.3661
"HAYES",133,186445,66.9415,23.9658,0.615731,0.739092,4.52251,3.21543
"FERNANDEZ",134,185352,7.90766,1.19502,5.88826,0.190448,1.04396,83.7747
"BRYANT",135,184727,56.0064,34.6149,0.494784,0.855858,4.90995,3.11811
"GIBSON",136,182917,69.25,21.4403,0.61558,0.896582,4.56382,3.23371
"ELLIS",137,182308,67.3503,23.0983,0.657678,0.580337,4.53573,3.77767
"AGUILAR",138,180700,4.46597,0.312673,1.89209,0.524073,0.390703,92.4145
"MURRAY",139,179133,72.3038,18.6186,0.74414,0.54708,4.04783,3.73856
"FORD",140,178559,59.8357,30.7383,0.625564,0.600922,4.74521,3.45432
"STEVENS",141,177585,78.5765,11.4463,0.805248,1.20506,4.1749,3.79199
"MARSHALL",142,175713,63.5986,26.6708,0.705127,0.873584,4.57109,3.58084
"OWENS",143,175160,63.3769,27.4503,0.529801,0.747317,4.77107,3.12457
"VARGAS",144,174429,5.6298,0.571579,1.00843,0.192055,0.38927,92.2089
"MCDONALD",145,172700,73.4829,17.1395,0.681529,0.744065,4.16503,3.78691
"HARRISON",146,172637,66.0895,23.8738,0.670772,1.27898,4.44806,3.63885
"WOODS",147,172463,55.8456,34.2839,0.563599,0.838441,5.08167,3.38681
"WASHINGTON",148,172075,5.81839,83.5845,0.434113,0.650879,6.04446,3.46767
"KENNEDY",149,171457,78.0283,13.2756,0.751792,0.596651,3.85986,3.48775
"GUZMAN",150,170696,4.46466,0.527839,1.43882,0.168135,0.369077,93.0315
"WANG",151,169987,3.17201,0.472977,94.5508,0.0158836,1.37246,0.415914
"WELLS",152,169750,70.9915,19.6677,0.658027,0.845361,4.44418,3.39323
"HENRY",153,166610,58.1076,30.9057,1.06656,1.773,4.31547,3.8317
"LI",154,165790,2.14549,0.45057,95.9847,0.0199047,0.869172,0.530189
"MENDEZ",155,165623,4.83568,0.965446,0.592309,0.298872,0.330268,92.9774
"SINGH",156,163612,4.65125,3.46246,85.3091,0.937584,3.37078,2.26878
"SILVA",157,162724,31.8877,2.51776,2.47228,0.363806,2.19574,60.5627
"WEBB",158,162492,72.6307,18.5357,0.605568,0.632647,4.29129,3.30416
"FREEMAN",159,162107,62.6216,27.8384,0.614409,0.850673,4.78449,3.29042
"TUCKER",160,160581,67.1063,23.773,0.560465,0.676294,4.54163,3.34224
"CRAWFORD",161,159143,66.106,24.7381,0.612028,0.684919,4.60781,3.25116
"BURNS",162,159111,77.4283,13.8626,0.710196,0.713338,3.88911,3.39637
"GORDON",163,157985,60.9514,29.161,0.789948,0.651328,4.34282,4.10355
"MUNOZ",164,156875,5.171,0.377371,1.08622,0.232032,0.34996,92.7834
"PORTER",165,156720,66.2296,24.2662,0.710184,0.647014,4.64012,3.50689
"OLSON",166,156271,92.0587,0.330836,0.808851,0.688547,3.04471,3.06839
"SIMPSON",167,156097,67.9603,22.5802,0.67394,0.712378,4.60675,3.46643
"HUNTER",168,155740,58.2073,31.8203,0.653011,0.945807,4.88121,3.49236
"SHAW",169,155184,69.4421,20.4834,1.72054,0.719146,4.2775,3.3573
"DIXON",170,154538,51.8889,38.3589,0.550027,0.898808,4.8137,3.48976
"MASON",171,153847,65.9129,24.59,0.685096,0.709796,4.56102,3.54118
"SNYDER",172,152979,91.0406,1.45706,0.756313,0.529484,3.22724,2.9893
"HUNT",173,152764,70.8734,16.5039,0.771779,3.72535,4.71577,3.40983
"HICKS",174,151942,64.5279,26.135,0.562057,0.902318,4.72022,3.15252
"BLACK",175,151439,71.0629,19.2454,0.686745,1.34245,4.30008,3.36241
"PALMER",176,151165,71.9029,18.4844,0.684682,0.724374,4.24305,3.96057
"SALAZAR",177,150906,6.07265,0.352537,1.88859,0.51489,0.467841,90.7035
"HOLMES",178,150877,54.7201,36.0101,0.557408,0.709187,4.59447,3.40874
"ROSE",179,149763,78.3705,11.6798,0.961519,0.610298,4.20731,4.17059
"FOX",180,149757,84.963,5.78871,0.790614,0.9669,3.87227,3.61853
"WAGNER",181,149267,89.5442,2.64894,0.738944,0.475658,3.1581,3.43411
"BOYD",182,147346,60.8052,29.6879,0.666459,1.02141,4.64349,3.17552
"MEYER",183,147096,91.8971,0.59213,0.819873,0.293006,3.05447,3.34339
"STONE",184,147006,82.4449,8.10171,0.906085,0.904725,4.13521,3.50734
"ROBERTSON",185,146630,70.7277,20.0375,0.70995,0.861352,4.27402,3.38948
"WARREN",186,145946,67.3263,23.497,0.695463,0.716018,4.45576,3.30944
"MILLS",187,145448,74.5675,16.4657,0.640091,0.800974,4.22763,3.29809
"SOTO",188,145165,5.42279,0.633762,0.51872,0.263838,0.35408,92.8068
"GARZA",189,144658,7.20251,0.297253,0.284118,0.312461,0.335274,91.5684
"SANTOS",190,144026,19.4215,2.61133,14.1176,0.274256,2.22182,61.3535
"VAZQUEZ",191,143372,3.92336,0.408029,0.23854,0.0913707,0.242028,95.0967
"RICE",192,142463,74.6734,16.2386,0.671051,0.716677,4.28532,3.41492
"SCHMIDT",193,142290,92.2651,0.477897,0.838429,0.356315,2.7444,3.31787
"DANIELS",194,141286,52.7462,37.119,0.678057,0.790595,4.9099,3.75621
"WEAVER",195,140670,81.9805,9.50949,0.645482,1.02296,3.87787,2.96367
"GRANT",196,139862,52.6555,37.2846,0.687106,1.03888,4.49658,3.83735
"STEPHENS",197,139485,70.6313,20.0789,0.631609,0.625157,4.48005,3.55307
"FERGUSON",198,139234,71.7289,18.7569,0.789319,0.586064,4.49316,3.64566
"YANG",199,139210,1.89354,0.344803,95.9859,0.0308886,1.27505,0.469794
"LE",200,138532,1.67543,0.262755,95.0279,0.0259868,2.14102,0.866948
"RYAN",201,137599,88.8524,2.95642,0.995647,0.395352,3.14392,3.65628
"GARDNER",202,137379,72.1311,19.123,0.692973,0.644931,4.11781,3.29017
"KELLEY",203,137250,80.2827,10.7038,0.673953,0.626594,4.4612,3.25173
"DUNN",204,137243,77.1478,13.9854,0.894035,0.594566,4.01988,3.35828
"PAYNE",205,137217,69.006,21.7393,0.580103,0.53419,4.72828,3.41211
"NICHOLS",206,136692,79.339,11.6664,0.662072,0.653294,4.25994,3.41937
"HAWKINS",207,135632,58.8895,31.6437,0.601628,0.67462,4.71054,3.48
"SPENCER",208,135510,66.8401,22.6677,0.867833,1.31577,4.579,3.72961
"PENA",209,135370,5.5485,0.605747,1.17456,0.320603,0.401862,91.9487
"HANSEN",210,135050,91.3121,0.585709,0.901148,0.482784,3.09959,3.61866
"ALVARADO",211,133053,4.71692,0.393076,0.702727,0.296123,0.307396,93.5838
"KNIGHT",212,132682,69.4435,21.0458,0.689619,0.860705,4.35703,3.60335
"PIERCE",213,132277,77.8261,12.4534,0.700802,0.951035,4.4679,3.60078
"ARNOLD",214,132160,78.29,12.9896,0.698396,0.534958,4.11622,3.37091
"PETERS",215,132098,79.5364,10.5217,1.24453,1.22863,3.81611,3.65259
"ELLIOTT",216,131897,78.3376,12.8851,0.677043,0.586822,4.28516,3.22828
"HART",217,131550,77.8655,13.2398,0.732801,0.611935,4.06537,3.48461
"BRADLEY",218,130526,66.1669,24.5652,0.606776,0.802139,4.53166,3.32731
"RAY",219,130289,71.227,17.0882,2.71627,0.890328,4.60822,3.46998
"HUDSON",220,129935,64.0636,26.7711,0.647247,0.803479,4.55997,3.15465
"ARMSTRONG",221,129826,69.6555,20.4335,0.690925,0.881179,4.50064,3.83821
"DUNCAN",222,129708,72.9477,17.3251,0.627563,0.959077,4.56795,3.57264
"LANE",223,129618,73.8408,16.7238,0.779213,0.923483,4.33659,3.39613
"RILEY",224,129431,69.6394,21.1935,0.601092,0.814334,4.18447,3.56715
"ANDREWS",225,129205,68.81,21.1594,1.01931,1.0673,4.30711,3.63686
"CARROLL",226,129163,80.043,11.1611,0.738602,0.662728,4.03908,3.35545
"DELGADO",227,128967,5.98138,0.847504,0.976994,0.197725,0.410182,91.5862
"NUNEZ",228,128895,5.22751,0.815392,1.01478,0.271539,0.349897,92.3209
"CUNNINGHAM",229,128869,70.6012,20.5876,0.68364,0.476453,4.02967,3.62151
"GEORGE",230,127488,61.2866,18.4582,10.0488,2.14922,3.86076,4.19647
"BERRY",231,127443,67.8468,22.6431,0.820759,0.692859,4.56832,3.4282
"LIU",232,127257,2.3315,0.383476,95.2946,0.0204311,1.41132,0.558712
"RIOS",233,126386,5.51406,0.52221,0.547529,0.352096,0.350514,92.7136
"MATTHEWS",234,126328,60.7165,30.0472,0.782883,0.507409,4.54452,3.40146
"PERKINS",235,126147,66.8419,23.7477,0.67461,0.646072,4.65964,3.43013
"RICHARDS",236,126138,75.1082,15.0549,0.874439,0.982258,4.01148,3.96867
"JOHNSTON",237,126068,88.3119,2.46454,0.835264,0.722626,3.92249,3.74322
"SANTIAGO",238,125697,5.75193,1.5418,5.00967,0.159113,0.790791,86.7467
"CONTRERAS",239,125396,4.60541,0.335736,0.712144,0.262369,0.286293,93.798
"GUERRERO",240,125229,4.99565,0.456763,2.48185,0.277891,0.570954,91.2169
"ESTRADA",241,125185,4.92551,0.528817,1.88361,0.273196,0.440149,91.9487
"WILLIS",242,125122,59.5723,30.2872,0.691325,1.16926,4.98154,3.29838
"ORTEGA",243,124833,5.35916,0.41896,1.3458,0.452605,0.394127,92.0294
"SANDOVAL",244,124812,5.62526,0.282024,0.669006,1.74342,0.414223,91.2661
"HOFFMAN",245,124557,91.3293,1.27733,0.825325,0.533892,2.90951,3.12467
"LAWRENCE",246,124450,65.5275,24.2716,0.989152,0.931298,4.56489,3.71555
"CARPENTER",247,124364,82.9886,8.34486,0.693127,0.59744,4.07996,3.29597
"GREENE",248,122836,65.02,25.8792,0.648018,0.685467,4.47019,3.29708
"CHAPMAN",249,122597,76.7042,14.1545,0.709642,0.745532,4.12816,3.558
"VALDEZ",250,122442,6.69215,0.562715,3.78547,0.748109,0.743209,87.4684
"WATKINS",251,122315,59.5528,31.2227,0.53632,0.577198,4.91027,3.20075
"ZHANG",252,122053,2.38749,0.514531,96.2279,0.0196636,0.567786,0.282664
"MALDONADO",253,119954,5.32037,0.645247,0.350968,0.258432,0.326792,93.0982
"WHEELER",254,119866,77.7235,13.0212,0.69828,0.857624,4.2681,3.43133
"HARPER",255,119191,65.2742,25.4457,0.626725,0.618335,4.64129,3.39371
"BURKE",256,118342,83.2139,8.59289,0.805293,0.443629,3.35553,3.58875
"LARSON",257,117441,92.2293,0.464063,0.90769,0.607113,2.89507,2.89677
"VEGA",258,116828,5.84107,0.653097,0.854247,0.265347,0.426268,91.96
"LIN",259,116776,2.00555,0.318559,95.7209,0.0265466,1.41896,0.509523
"DOMINGUEZ",260,116738,5.25022,0.451438,1.21469,0.340934,0.351214,92.3915
"OBRIEN",261,115547,91.1032,1.32154,0.964975,0.302907,2.92781,3.37958
"MORRISON",262,115546,75.8088,14.7076,0.768525,0.956329,4.15938,3.59943
"CARLSON",263,115532,91.881,0.509815,0.861233,0.515009,3.12035,3.11256
"FRANKLIN",264,115358,52.1819,37.5639,0.74984,0.787115,5.0781,3.63911
"CARR",265,115016,70.8754,20.1615,0.64078,0.532969,4.23854,3.55081
"JACOBS",266,114905,71.5426,16.4536,0.751055,3.33406,4.42452,3.49419
"LAWSON",267,114522,70.7515,20.4345,0.571943,0.583294,4.49695,3.16184
"JENSEN",268,114314,90.9897,0.530994,0.869535,0.767185,2.99176,3.8508
"LYNCH",269,114010,79.5009,11.5946,0.763968,0.958688,3.62951,3.55232
"AUSTIN",270,113709,64.6185,25.4826,0.76599,0.734331,4.70939,3.68924
"WONG",271,112062,3.85322,0.935197,84.6746,0.0356945,5.9949,4.50643
"BISHOP",272,112014,81.3059,9.96572,0.746335,0.488332,4.06913,3.42457
"HARVEY",273,111716,65.0265,24.7798,0.674031,1.58348,4.53471,3.40148
"PARK",274,111265,21.5746,0.767537,73.564,0.117737,2.55696,1.41913
"MONTGOMERY",275,110972,65.3904,25.5326,0.723606,0.579425,4.45067,3.32336
"MEJIA",276,110790,3.57614,0.6228,1.38911,0.185937,0.300569,93.9254
"SIMS",277,109854,51.8716,38.796,0.535256,0.496113,5.01848,3.28254
"OLIVER",278,109817,61.7664,26.3293,0.876913,0.749429,4.55667,5.72134
"DEAN",279,109762,73.6093,16.4073,1.21445,0.649587,4.49882,3.62056
"WILLIAMSON",280,109310,74.3802,16.9426,0.606532,0.708993,4.14326,3.21837
"REID",281,109275,56.7769,33.8586,0.74674,0.543583,4.46031,3.61382
"ROJAS",282,109184,4.25062,0.457943,1.01755,0.194168,0.307737,93.772
"JOSEPH",283,108935,24.2971,55.5175,12.1375,0.824345,3.49199,3.73158
"GILBERT",284,108832,75.0772,15.7445,0.694649,0.68546,3.99699,3.80127
"ESPINOZA",285,108031,4.49778,0.340643,0.489674,0.363784,0.307319,94.0008
"HOWELL",286,107414,76.2861,14.8631,0.598618,0.683337,4.1233,3.44555
"MCCOY",287,107288,64.5291,25.9423,0.587205,0.809969,4.51961,3.61177
"HANSON",288,106689,89.3729,3.00406,0.833263,0.615809,3.13528,3.03874
"LUNA",289,106387,8.19743,0.399485,2.03126,0.470922,0.651395,88.2495
"WEBER",290,106260,91.3552,1.42763,0.799925,0.337851,2.85526,3.22417
"MARQUEZ",291,106054,5.39819,0.554435,3.22194,0.383767,0.586494,89.8552
"BURTON",292,105987,64.908,26.1117,0.647249,0.474587,4.53452,3.32399
"FULLER",293,105864,70.7634,20.3412,0.759465,0.561097,4.19973,3.37509
"ACOSTA",294,104841,6.51177,0.73063,2.58391,0.301409,0.621894,89.2504
"PADILLA",295,104340,6.49895,0.425532,2.35864,0.87119,0.606671,89.239
"WELCH",296,103903,80.2537,10.3491,0.670818,1.05675,4.20007,3.46958
"BANKS",297,103658,37.4597,52.5652,0.504544,0.378167,5.66189,3.43051
"FIELDS",298,103194,55.0856,34.848,0.51941,1.15317,5.11658,3.27732
"LUCAS",299,102949,65.8375,18.1381,1.81158,0.542016,4.03501,9.63584
"DAY",300,102775,79.7772,10.1396,1.3515,1.00997,4.18,3.54172
"GARRETT",301,102634,66.8716,24.0719,0.581679,0.618703,4.68656,3.16951
"WALSH",302,101867,91.7196,1.30562,0.80988,0.190444,2.71236,3.2621
"KHAN",303,101770,5.50752,3.14729,83.5561,0.397956,5.22354,2.16763
"MAY",304,101571,80.393,9.42493,1.53981,0.782704,3.81802,4.04151
"PHAM",305,101083,1.40182,0.242375,95.3642,0.0168179,2.04386,0.930918
"LITTLE",306,101061,67.2356,23.5056,0.606564,1.20917,4.38547,3.05756
"WALTERS",307,100790,79.5307,11.5359,0.736184,0.77091,3.69283,3.73351
"DAVIDSON",308,100706,80.8542,10.0103,0.869859,0.608703,4.0941,3.56285
"BOWMAN",309,100205,78.1189,13.159,0.640687,0.799361,4.12255,3.15952
"FIGUEROA",310,100117,5.3018,0.994836,1.17962,0.205759,0.394538,91.9234
"SCHULTZ",311,99932,91.9886,0.830565,0.729496,0.295201,2.942,3.21419
"FOWLER",312,99260,78.3699,12.6244,0.61757,0.920814,4.2293,3.23796
"BREWER",313,98650,78.071,12.3305,0.541308,1.29042,4.67511,3.09174
"HUANG",314,98330,1.87125,0.332554,96.1761,0.00813587,1.19394,0.41798
"JUAREZ",315,97719,3.9368,0.255836,0.470738,0.233322,0.258906,94.8444
"MOLINA",316,97649,5.81675,0.57041,2.55712,0.611373,0.53764,89.9067
"PEARSON",317,97562,69.4256,21.7728,0.725692,0.401796,4.25268,3.42141
"WU",318,97527,2.17171,0.316835,95.3869,0.0205071,1.51958,0.584454
"HOLLAND",319,97501,73.9172,17.0829,0.663583,0.538456,4.44713,3.35073
"SCHNEIDER",320,97428,92.69,0.517305,0.74106,0.251468,2.60911,3.19107
"NAVARRO",321,97262,6.76112,0.465752,4.52386,0.250869,0.737184,87.2612
"CURTIS",322,97208,74.9506,15.3722,0.664554,0.970085,4.28566,3.75689
"NEWMAN",323,97169,79.9092,10.9654,0.788317,0.648355,3.99819,3.69048
"DOUGLAS",324,97078,55.6861,34.19,0.677805,0.703558,4.89297,3.84948
"BARRETT",325,96872,77.4847,13.4951,0.842349,0.564663,3.91754,3.6956
"AVILA",326,96191,7.32709,0.512522,1.18306,0.269256,0.415839,90.2922
"CORTEZ",327,95625,6.55895,0.686013,3.2983,0.317908,0.611765,88.5271
"CAMPOS",328,94276,7.62018,0.51869,1.67275,0.254572,0.505961,89.4279
"KELLER",329,94168,88.2805,3.96738,0.787953,0.423711,3.18155,3.35889
"MIRANDA",330,93203,11.4589,1.6287,4.77131,0.384108,1.0343,80.7227
"WADE",331,93102,62.5056,28.2497,0.610084,0.629417,4.70237,3.30283
"HOPKINS",332,92924,70.7169,20.2036,0.668288,0.891051,4.33795,3.18217
